操作日期,操作时间,股票代码,股票名称,操作（买or卖）,操作价格,操作原因,总资产
2025-04-28,09:30:00,000601,韶能股份,buy,7.010,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",10125.58
2025-04-29,15:00:00,000601,韶能股份,sell,6.170,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,9952.58
2025-05-06,09:30:00,002667,威领股份,buy,13.500,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",9947.58
2025-05-07,15:00:00,002667,威领股份,sell,12.960,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,9888.58
2025-05-19,09:30:00,600610,中毅达,buy,15.100,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",9883.58
2025-05-20,15:00:00,600610,中毅达,sell,16.640,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,10032.58
2025-05-22,09:30:00,002365,永安药业,buy,17.738,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",10027.58
2025-05-23,15:00:00,002365,永安药业,sell,20.289,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,10277.69
2025-05-27,09:30:00,000045,深纺织A,buy,10.950,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",10272.69
2025-05-28,15:00:00,000045,深纺织A,sell,10.880,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,10260.70
2025-06-12,09:30:00,600557,康缘药业,buy,16.410,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",10255.70
2025-06-13,15:00:00,600557,康缘药业,sell,16.130,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,10222.70
2025-06-18,09:30:00,002678,珠江钢琴,buy,6.150,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",10217.70
2025-06-19,15:00:00,002678,珠江钢琴,sell,5.220,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,10026.70
2025-06-30,09:30:00,300414,中光防雷,buy,13.150,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",10021.70
