stock_code,name,close,support_level,resistance_level,total_score,status_tags
688379,华光新材,57.67,54.25,58.2,62.0,"[""TREND_UP"", ""SPACE_OK"", ""NEAR_RESISTANCE""]"
300159,*ST新研,3.17,3.16367,3.26125,61.5,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK"", ""NEAR_RESISTANCE""]"
000788,北大医药,6.55,6.46883,6.63875,61.0,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK"", ""NEAR_RESISTANCE""]"
300390,天华新能,52.32,51.68,54.6535,61.0,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK"", ""NEAR_RESISTANCE""]"
300548,长芯博创,136.73,133.3,141.863,61.0,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK"", ""NEAR_RESISTANCE""]"
688183,生益电子,96.32,95.4338,101.1,61.0,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK"", ""NEAR_RESISTANCE""]"
301526,国际复材,7.23,6.91,7.269,60.5,"[""TREND_UP"", ""SPACE_OK"", ""NEAR_RESISTANCE""]"
001216,华瓷股份,17.51,16.8143,17.55,60.0,"[""TREND_UP"", ""SPACE_OK"", ""NEAR_RESISTANCE""]"
002474,榕基软件,10.41,9.53167,11.279,60.0,"[""TREND_UP"", ""SPACE_OK""]"
300082,奥克股份,10.46,9.93,11.13,60.0,"[""TREND_UP"", ""SPACE_OK""]"
300179,四方达,16.19,15.5975,16.25,60.0,"[""TREND_UP"", ""SPACE_OK"", ""NEAR_RESISTANCE""]"
603999,读者传媒,7.23,7.0085,7.3955,60.0,"[""TREND_UP"", ""SPACE_OK"", ""NEAR_RESISTANCE""]"
