seed,threshold,alloc,ret_pct,dd_pct,trades
100,0.58,0.998,-36.417855620000005,52.26588439177421,57
100,0.58,0.9998,-37.337855620000006,52.742878950616024,57
100,0.6,0.998,-36.417855620000005,52.26588439177421,57
100,0.6,0.9998,-37.337855620000006,52.742878950616024,57
100,0.62,0.998,-36.417855620000005,52.26588439177421,57
100,0.62,0.9998,-37.337855620000006,52.742878950616024,57
100,0.64,0.998,-36.417855620000005,52.26588439177421,57
100,0.64,0.9998,-37.337855620000006,52.742878950616024,57
100,0.66,0.998,-36.417855620000005,52.26588439177421,57
100,0.66,0.9998,-37.337855620000006,52.742878950616024,57
125,0.58,0.998,-65.40946228000001,75.50103111333503,52
125,0.58,0.9998,-65.13716453000005,75.24146401097177,52
125,0.6,0.998,-65.40946228000001,75.50103111333503,52
125,0.6,0.9998,-65.13716453000005,75.24146401097177,52
125,0.62,0.998,-65.40946228000001,75.50103111333503,52
125,0.62,0.9998,-65.13716453000005,75.24146401097177,52
125,0.64,0.998,-65.40946228000001,75.50103111333503,52
125,0.64,0.9998,-65.13716453000005,75.24146401097177,52
125,0.66,0.998,-65.40946228000001,75.50103111333503,52
125,0.66,0.9998,-65.13716453000005,75.24146401097177,52
150,0.58,0.998,38.76702668999998,50.303900233128296,61
150,0.58,0.9998,39.26702668999997,50.303900233128296,61
150,0.6,0.998,38.76702668999998,50.303900233128296,61
150,0.6,0.9998,39.26702668999997,50.303900233128296,61
150,0.62,0.998,38.76702668999998,50.303900233128296,61
150,0.62,0.9998,39.26702668999997,50.303900233128296,61
150,0.64,0.998,38.76702668999998,50.303900233128296,61
150,0.64,0.9998,39.26702668999997,50.303900233128296,61
150,0.66,0.998,38.76702668999998,50.303900233128296,61
150,0.66,0.9998,39.26702668999997,50.303900233128296,61
175,0.58,0.998,-29.088244950000032,54.48510066748796,59
175,0.58,0.9998,-33.48138498000003,56.42189040339424,58
175,0.6,0.998,-29.088244950000032,54.48510066748796,59
175,0.6,0.9998,-33.48138498000003,56.42189040339424,58
175,0.62,0.998,-29.088244950000032,54.48510066748796,59
175,0.62,0.9998,-33.48138498000003,56.42189040339424,58
175,0.64,0.998,-29.088244950000032,54.48510066748796,59
175,0.64,0.9998,-33.48138498000003,56.42189040339424,58
175,0.66,0.998,-29.088244950000032,54.48510066748796,59
175,0.66,0.9998,-33.48138498000003,56.42189040339424,58
200,0.58,0.998,-58.02447558,59.25447558,60
200,0.58,0.9998,-59.68414014,60.91414013999999,60
200,0.6,0.998,-58.02447558,59.25447558,60
200,0.6,0.9998,-59.68414014,60.91414013999999,60
200,0.62,0.998,-58.02447558,59.25447558,60
200,0.62,0.9998,-59.68414014,60.91414013999999,60
200,0.64,0.998,-58.02447558,59.25447558,60
200,0.64,0.9998,-59.68414014,60.91414013999999,60
200,0.66,0.998,-58.02447558,59.25447558,60
200,0.66,0.9998,-59.68414014,60.91414013999999,60
225,0.58,0.998,27.167875389999963,39.55530564658014,60
225,0.58,0.9998,34.03787538999996,38.974628626606524,60
225,0.6,0.998,27.167875389999963,39.55530564658014,60
225,0.6,0.9998,34.03787538999996,38.974628626606524,60
225,0.62,0.998,27.167875389999963,39.55530564658014,60
225,0.62,0.9998,34.03787538999996,38.974628626606524,60
225,0.64,0.998,27.167875389999963,39.55530564658014,60
225,0.64,0.9998,34.03787538999996,38.974628626606524,60
225,0.66,0.998,27.167875389999963,39.55530564658014,60
225,0.66,0.9998,34.03787538999996,38.974628626606524,60
250,0.58,0.998,-16.09089235000003,50.86923563896525,60
250,0.58,0.9998,-16.09089235000003,50.86923563896525,60
250,0.6,0.998,-16.09089235000003,50.86923563896525,60
250,0.6,0.9998,-16.09089235000003,50.86923563896525,60
250,0.62,0.998,-16.09089235000003,50.86923563896525,60
250,0.62,0.9998,-16.09089235000003,50.86923563896525,60
250,0.64,0.998,-16.09089235000003,50.86923563896525,60
250,0.64,0.9998,-16.09089235000003,50.86923563896525,60
250,0.66,0.998,-16.09089235000003,50.86923563896525,60
250,0.66,0.9998,-16.09089235000003,50.86923563896525,60
275,0.58,0.998,-50.43280849000003,57.94346714158507,64
275,0.58,0.9998,-52.20280849000001,59.45726945681212,64
275,0.6,0.998,-50.43280849000003,57.94346714158507,64
275,0.6,0.9998,-52.20280849000001,59.45726945681212,64
275,0.62,0.998,-50.43280849000003,57.94346714158507,64
275,0.62,0.9998,-52.20280849000001,59.45726945681212,64
275,0.64,0.998,-50.43280849000003,57.94346714158507,64
275,0.64,0.9998,-52.20280849000001,59.45726945681212,64
275,0.66,0.998,-50.43280849000003,57.94346714158507,64
275,0.66,0.9998,-52.20280849000001,59.45726945681212,64
300,0.58,0.998,-56.342003059999946,74.12659265813926,61
300,0.58,0.9998,-56.01544429999994,73.95013010942229,61
300,0.6,0.998,-56.342003059999946,74.12659265813926,61
300,0.6,0.9998,-56.01544429999994,73.95013010942229,61
300,0.62,0.998,-56.342003059999946,74.12659265813926,61
300,0.62,0.9998,-56.01544429999994,73.95013010942229,61
