stage,hidden,epochs,lr,weight_decay,target_gt,seed,tag,alpha,threshold,alloc,gap_min,gap_max,ret_pct,dd_pct,trades,obj
stage1,88,560,0.0228,0.00019,0.012,476,random,15,0.64,0.9998,-0.0005,0.0265,64.04792348,45.12439187977858,65,-3415.2791020934296
stage1,96,560,0.0194,0.000311,0.018,387,random,15,0.6,0.9998,-0.001,0.0255,-53.942784830000036,58.20510793731746,58,-5102.955737308095
stage1,96,560,0.0194,0.000311,0.018,387,random,15,0.62,0.9998,-0.001,0.0255,-53.942784830000036,58.20510793731746,58,-5102.955737308095
stage1,96,560,0.0194,0.000311,0.018,387,random,15,0.64,0.9998,-0.0005,0.0265,-32.12313252999998,49.251861842166704,61,-4006.746553590005
stage1,88,500,0.0217,0.000287,0.011,387,random,15,0.6,0.9998,-0.001,0.0255,-26.25083538999996,67.79387941674922,58,-6225.916365399908
stage1,88,500,0.0217,0.000287,0.011,387,random,15,0.62,0.9998,-0.001,0.0255,-26.25083538999996,67.79387941674922,58,-6225.916365399908
stage1,88,500,0.0217,0.000287,0.011,387,random,15,0.64,0.9998,-0.0005,0.0265,-31.00083538999996,67.79387941674922,58,-6230.666365399908
stage1,72,420,0.0221,0.000271,0.018,480,random,15,0.6,0.9998,-0.001,0.0255,-50.52993368000003,65.21127047412378,63,-5940.282390574854
stage1,72,420,0.0221,0.000271,0.018,480,random,15,0.62,0.9998,-0.001,0.0255,-50.52993368000003,65.21127047412378,63,-5940.282390574854
stage1,72,420,0.0221,0.000271,0.018,480,random,15,0.64,0.9998,-0.0005,0.0265,-50.969933680000025,68.21483550030277,64,-6301.150193716333
stage1,84,360,0.0163,0.000111,0.009,406,random,15,0.6,0.9998,-0.001,0.0255,127.62300092000012,26.184672216872446,62,-1078.9376651046935
stage1,84,360,0.0163,0.000111,0.009,406,random,15,0.62,0.9998,-0.001,0.0255,127.62300092000012,26.184672216872446,62,-1078.9376651046935
stage1,84,360,0.0163,0.000111,0.009,406,random,15,0.64,0.9998,-0.0005,0.0265,145.57544842000013,26.184672216872446,62,-1060.9852176046934
stage1,104,500,0.0171,0.000208,0.008,461,random,15,0.6,0.9998,-0.001,0.0255,8.301038069999954,53.83506234305928,58,-4516.306443097114
stage1,104,500,0.0171,0.000208,0.008,461,random,15,0.62,0.9998,-0.001,0.0255,8.301038069999954,53.83506234305928,58,-4516.306443097114
stage1,104,500,0.0171,0.000208,0.008,461,random,15,0.64,0.9998,-0.0005,0.0265,13.82903756999998,46.77539558797528,59,-3663.6184329870343
stage1,92,360,0.0276,0.000228,0.011,378,random,15,0.6,0.9998,-0.001,0.0255,-35.23810751000001,66.41168928964966,59,-6069.04082226796
stage1,92,360,0.0276,0.000228,0.011,378,random,15,0.62,0.9998,-0.001,0.0255,-35.23810751000001,66.41168928964966,59,-6069.04082226796
stage1,92,360,0.0276,0.000228,0.011,378,random,15,0.64,0.9998,-0.0005,0.0265,-36.07810751000001,66.19067236879214,57,-6043.3587917650575
stage1,104,500,0.0221,0.000215,0.012,382,random,15,0.6,0.9998,-0.001,0.0255,30.958922979999983,32.99750560306459,56,-1993.141749387751
