seed,threshold,alloc,ret_pct,dd_pct,trades
300,0.58,0.998,-56.342003059999946,74.12659265813926,61
300,0.58,0.9998,-56.01544429999994,73.95013010942229,61
300,0.6,0.998,-56.342003059999946,74.12659265813926,61
300,0.6,0.9998,-56.01544429999994,73.95013010942229,61
300,0.62,0.998,-56.342003059999946,74.12659265813926,61
300,0.62,0.9998,-56.01544429999994,73.95013010942229,61
300,0.64,0.998,-56.342003059999946,74.12659265813926,61
300,0.64,0.9998,-56.01544429999994,73.95013010942229,61
305,0.58,0.998,23.88788589000006,38.96849997345743,64
305,0.58,0.9998,23.847885890000065,38.96849997345743,64
305,0.6,0.998,23.88788589000006,38.96849997345743,64
305,0.6,0.9998,23.847885890000065,38.96849997345743,64
305,0.62,0.998,23.88788589000006,38.96849997345743,64
305,0.62,0.9998,23.847885890000065,38.96849997345743,64
305,0.64,0.998,23.88788589000006,38.96849997345743,64
305,0.64,0.9998,23.847885890000065,38.96849997345743,64
310,0.58,0.998,-30.549881570000014,67.51774275000002,56
310,0.58,0.9998,-14.819881569999993,66.67774275000001,57
310,0.6,0.998,-30.549881570000014,67.51774275000002,56
310,0.6,0.9998,-14.819881569999993,66.67774275000001,57
310,0.62,0.998,-30.549881570000014,67.51774275000002,56
310,0.62,0.9998,-14.819881569999993,66.67774275000001,57
310,0.64,0.998,-30.549881570000014,67.51774275000002,56
310,0.64,0.9998,-14.819881569999993,66.67774275000001,57
315,0.58,0.998,17.588678410000004,46.0111247334947,66
315,0.58,0.9998,17.588678410000004,46.0111247334947,66
315,0.6,0.998,17.588678410000004,46.0111247334947,66
315,0.6,0.9998,17.588678410000004,46.0111247334947,66
315,0.62,0.998,17.588678410000004,46.0111247334947,66
315,0.62,0.9998,17.588678410000004,46.0111247334947,66
315,0.64,0.998,17.588678410000004,46.0111247334947,66
315,0.64,0.9998,17.588678410000004,46.0111247334947,66
320,0.58,0.998,-67.35825060999998,72.02825060999997,56
320,0.58,0.9998,-67.35825060999998,72.02825060999997,56
320,0.6,0.998,-67.35825060999998,72.02825060999997,56
320,0.6,0.9998,-67.35825060999998,72.02825060999997,56
320,0.62,0.998,-67.35825060999998,72.02825060999997,56
320,0.62,0.9998,-67.35825060999998,72.02825060999997,56
320,0.64,0.998,-67.35825060999998,72.02825060999997,56
320,0.64,0.9998,-67.35825060999998,72.02825060999997,56
325,0.58,0.998,-64.05182341000003,78.07179717113716,58
325,0.58,0.9998,-63.50925103,77.68053276359318,58
325,0.6,0.998,-64.05182341000003,78.07179717113716,58
325,0.6,0.9998,-63.50925103,77.68053276359318,58
325,0.62,0.998,-64.05182341000003,78.07179717113716,58
325,0.62,0.9998,-63.50925103,77.68053276359318,58
325,0.64,0.998,-64.05182341000003,78.07179717113716,58
325,0.64,0.9998,-63.50925103,77.68053276359318,58
330,0.58,0.998,-44.07841577999996,61.658415779999956,57
330,0.58,0.9998,-44.098415779999954,61.67841577999995,57
330,0.6,0.998,-44.07841577999996,61.658415779999956,57
330,0.6,0.9998,-44.098415779999954,61.67841577999995,57
330,0.62,0.998,-44.07841577999996,61.658415779999956,57
330,0.62,0.9998,-44.098415779999954,61.67841577999995,57
330,0.64,0.998,-44.07841577999996,61.658415779999956,57
330,0.64,0.9998,-44.098415779999954,61.67841577999995,57
335,0.58,0.998,28.987598450000007,32.97631399641454,57
335,0.58,0.9998,28.987598450000007,32.97631399641454,57
335,0.6,0.998,28.987598450000007,32.97631399641454,57
335,0.6,0.9998,28.987598450000007,32.97631399641454,57
335,0.62,0.998,28.987598450000007,32.97631399641454,57
335,0.62,0.9998,28.987598450000007,32.97631399641454,57
335,0.64,0.998,28.987598450000007,32.97631399641454,57
335,0.64,0.9998,28.987598450000007,32.97631399641454,57
340,0.58,0.998,-34.632708350000016,54.874481710000026,60
340,0.58,0.9998,-34.632708350000016,54.874481710000026,60
340,0.6,0.998,-34.632708350000016,54.874481710000026,60
340,0.6,0.9998,-34.632708350000016,54.874481710000026,60
340,0.62,0.998,-34.632708350000016,54.874481710000026,60
340,0.62,0.9998,-34.632708350000016,54.874481710000026,60
340,0.64,0.998,-34.632708350000016,54.874481710000026,60
340,0.64,0.9998,-34.632708350000016,54.874481710000026,60
345,0.58,0.998,9.673037299999955,40.14467840100305,59
345,0.58,0.9998,11.40380365,40.61040285934287,59
345,0.6,0.998,9.673037299999955,40.14467840100305,59
345,0.6,0.9998,11.40380365,40.61040285934287,59
345,0.62,0.998,9.673037299999955,40.14467840100305,59
345,0.62,0.9998,11.40380365,40.61040285934287,59
345,0.64,0.998,9.673037299999955,40.14467840100305,59
345,0.64,0.9998,11.40380365,40.61040285934287,59
350,0.58,0.998,127.15172274999995,38.563387075929775,62
350,0.58,0.9998,126.76172274999998,38.563387075929775,62
350,0.6,0.998,127.15172274999995,38.563387075929775,62
350,0.6,0.9998,126.76172274999998,38.563387075929775,62
350,0.62,0.998,127.15172274999995,38.563387075929775,62
350,0.62,0.9998,126.76172274999998,38.563387075929775,62
350,0.64,0.998,127.15172274999995,38.563387075929775,62
350,0.64,0.9998,126.76172274999998,38.563387075929775,62
355,0.58,0.998,-45.65137388000002,65.77854119632737,52
355,0.58,0.9998,-41.62254388000001,66.24989085999651,53
355,0.6,0.998,-45.65137388000002,65.77854119632737,52
355,0.6,0.9998,-41.62254388000001,66.24989085999651,53
355,0.62,0.998,-45.65137388000002,65.77854119632737,52
355,0.62,0.9998,-41.62254388000001,66.24989085999651,53
355,0.64,0.998,-45.65137388000002,65.77854119632737,52
355,0.64,0.9998,-41.62254388000001,66.24989085999651,53
360,0.58,0.998,76.35889265999991,46.01753932168926,63
360,0.58,0.9998,76.8388926599999,45.845268289623746,63
360,0.6,0.998,76.35889265999991,46.01753932168926,63
360,0.6,0.9998,76.8388926599999,45.845268289623746,63
360,0.62,0.998,76.35889265999991,46.01753932168926,63
360,0.62,0.9998,76.8388926599999,45.845268289623746,63
360,0.64,0.998,76.35889265999991,46.01753932168926,63
360,0.64,0.9998,76.8388926599999,45.845268289623746,63
365,0.58,0.998,-31.34426941000007,55.04512819343708,57
365,0.58,0.9998,-31.62426941000007,55.04512819343708,57
365,0.6,0.998,-31.34426941000007,55.04512819343708,57
365,0.6,0.9998,-31.62426941000007,55.04512819343708,57
365,0.62,0.998,-31.34426941000007,55.04512819343708,57
365,0.62,0.9998,-31.62426941000007,55.04512819343708,57
365,0.64,0.998,-31.34426941000007,55.04512819343708,57
365,0.64,0.9998,-31.62426941000007,55.04512819343708,57
370,0.58,0.998,-51.838309670000015,60.954156861406425,54
370,0.58,0.9998,-51.838309670000015,60.954156861406425,54
370,0.6,0.998,-51.838309670000015,60.954156861406425,54
370,0.6,0.9998,-51.838309670000015,60.954156861406425,54
370,0.62,0.998,-51.838309670000015,60.954156861406425,54
370,0.62,0.9998,-51.838309670000015,60.954156861406425,54
370,0.64,0.998,-51.838309670000015,60.954156861406425,54
370,0.64,0.9998,-51.838309670000015,60.954156861406425,54
375,0.58,0.998,-0.997093110000058,48.553271571561126,61
375,0.58,0.9998,-1.1470931100000636,48.553271571561126,61
375,0.6,0.998,-0.997093110000058,48.553271571561126,61
375,0.6,0.9998,-1.1470931100000636,48.553271571561126,61
375,0.62,0.998,-0.997093110000058,48.553271571561126,61
375,0.62,0.9998,-1.1470931100000636,48.553271571561126,61
375,0.64,0.998,-0.997093110000058,48.553271571561126,61
375,0.64,0.9998,-1.1470931100000636,48.553271571561126,61
380,0.58,0.998,-64.9239351899999,74.50026191246413,55
