variant,seed,seed_offset,alpha,threshold,alloc,max_board,ret_pct,dd_pct,trades
mlp_h88_e500_gt1_wd2e4,52,0,12,0.65,0.9,,15.929556079999996,51.419478967185796,70
mlp_h88_e500_gt1_wd2e4,52,0,12,0.65,0.905,,14.009556080000007,51.419478967185796,70
mlp_h88_e500_gt1_wd2e4,52,0,12,0.65,0.91,,13.819556080000005,51.419478967185796,70
mlp_h88_e500_gt1_wd2e4,52,0,12,0.65,0.915,,15.739556079999995,51.419478967185796,70
mlp_h88_e500_gt1_wd2e4,52,0,12,0.65,0.92,,15.19955608000001,51.54854564590493,70
mlp_h88_e500_gt1_wd2e4,52,0,12,0.65,0.925,,15.459556080000002,51.54854564590493,70
mlp_h88_e500_gt1_wd2e4,52,0,12,0.65,0.93,,34.769556079999965,51.54854564590493,70
mlp_h88_e500_gt1_wd2e4,52,0,12,0.65,0.935,,34.169556079999964,51.50114603391239,70
mlp_h88_e500_gt1_wd2e4,52,0,12,0.65,0.94,,33.69955607999997,51.50114603391239,70
mlp_h88_e500_gt1_wd2e4,52,0,12,0.65,0.945,,33.039556079999976,52.14480586910331,70
mlp_h88_e500_gt1_wd2e4,52,0,12,0.65,0.95,,32.71955607999997,52.41230086554629,70
mlp_h88_e500_gt1_wd2e4,52,0,12,0.65,0.955,,31.949556079999965,53.0559607007372,70
mlp_h88_e500_gt1_wd2e4,52,0,12,0.65,0.96,,31.649556079999975,53.189347115275375,70
mlp_h88_e500_gt1_wd2e4,52,0,12,0.65,0.965,,31.07955607999997,53.189347115275375,70
mlp_h88_e500_gt1_wd2e4,52,0,12,0.65,0.97,,31.049556079999974,53.189347115275375,70
mlp_h88_e500_gt1_wd2e4,52,0,12,0.65,0.975,,9.589556080000028,56.172710526814384,70
mlp_h88_e500_gt1_wd2e4,52,0,12,0.65,0.98,,8.58955608000005,56.357075681460046,70
mlp_h88_e500_gt1_wd2e4,52,0,12,0.65,0.985,,8.329556080000033,56.82520406158129,70
mlp_h88_e500_gt1_wd2e4,52,0,12,0.65,0.99,,11.41955607999996,56.82520406158129,70
mlp_h88_e500_gt1_wd2e4,52,0,12,0.65,0.995,,26.839556079999973,56.876094345494096,70
mlp_h88_e500_gt1_wd2e4,52,0,12,0.65,1.0,,26.649556079999968,56.964210770767764,70
mlp_h88_e500_gt1_wd2e4,52,0,12,0.655,0.9,,15.929556079999996,51.419478967185796,70
mlp_h88_e500_gt1_wd2e4,52,0,12,0.655,0.905,,14.009556080000007,51.419478967185796,70
