stage,hidden,epochs,lr,weight_decay,target_gt,seed,tag,score_base_start,alpha,sell_rule,top_k,threshold,alloc,gap_min,gap_max,max_broken_rate,min_red_rate,max_limit_down,max_pullback,ret_pct,dd_pct,trades,obj
gen1,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-03-01,16,t2_close,3,0.66,1.0,-0.001,0.0255,0.412,0.287,12,0.06,1321.5658682929152,17.46361518018806,64,1161.5320466703479
gen1,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-03-01,18,loss_rebound_t3,4,0.68,0.9998,-0.001,0.0255,0.406,0.275,12,0.06,854.6856866209074,40.894438622517775,67,-2117.0469480812258
gen1,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-03-01,18,strong_hold_t3,4,0.66,0.9998,-0.0005,0.0255,0.406,0.275,12,0.06,768.0068471839651,28.793321503487356,64,-751.5917332345176
gen1,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-04-01,16,loss_rebound_t3,2,0.7,1.0,-0.0005,0.0255,0.412,0.275,10,0.06,275.7359188009051,42.258932554584455,56,-2859.7359877492295
gen1,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-03-01,17,loss_rebound_t3,4,0.66,0.9998,-0.001,0.0255,0.412,0.275,10,0.065,364.47154248501033,44.8949511813344,65,-3087.3225992751177
gen1,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-04-01,14,strong_hold_t3,2,0.68,0.999,-0.001,0.0255,0.412,0.287,10,0.065,1261.3675073030092,21.018873096243667,55,674.7027357537692
gen1,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-04-01,15,loss_rebound_t3,3,0.66,1.0,-0.001,0.0255,0.406,0.287,10,0.065,2834.8103041225695,16.00905119684059,62,2834.8103041225695
gen1,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-03-01,18,loss_rebound_t3,2,0.66,1.0,-0.0005,0.0255,0.406,0.287,12,0.065,483.85071066886036,54.70334255067364,54,-4144.950395411977
gen1,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-02-01,15,loss_rebound_t3,3,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,3091.114719633972,16.01910595150687,63,3091.114719633972
gen1,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-02-01,15,loss_rebound_t3,3,0.64,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,3091.114719633972,16.01910595150687,63,3091.114719633972
