round,stage,hidden,epochs,lr,weight_decay,target_gt,seed,tag,score_base_start,alpha,sell_rule,top_k,threshold,alloc,gap_min,gap_max,max_broken_rate,min_red_rate,max_limit_down,max_pullback,ret_pct,dd_pct,trades,obj
1,fixedhp100_v15,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,15,loss_rebound_t3,3,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,3091.114719633972,16.01910595150687,63,3091.114719633972
1,fixedhp100_v15,88,500,0.021,0.0002,0.01,440,incumbent,2025-03-01,15,loss_rebound_t3,3,0.64,0.9998,-0.0005,0.0255,0.406,0.287,10,0.06,3091.114719633972,16.01910595150687,63,3091.114719633972
1,fixedhp100_v15,88,500,0.021,0.0002,0.01,440,incumbent,2025-04-01,15,strong_hold_t3,3,0.68,0.9998,-0.0005,0.0265,0.412,0.275,10,0.06,1210.4722902389296,32.15320328232834,58,-712.3121036404714
1,fixedhp100_v15,88,500,0.021,0.0002,0.01,440,incumbent,2025-03-01,15,t2_close,2,0.7,0.9998,-0.001,0.0255,0.412,0.287,12,0.065,856.8249510003373,19.11557618370554,60,498.5558089556725
1,fixedhp100_v15,88,500,0.021,0.0002,0.01,440,incumbent,2025-03-01,15,t2_close,2,0.7,0.999,-0.0005,0.0255,0.412,0.287,12,0.065,853.1690760003371,19.11557618370554,60,494.89993395567234
1,fixedhp100_v15,88,500,0.021,0.0002,0.01,440,incumbent,2025-03-01,15,t2_close,3,0.62,0.999,-0.0005,0.0255,0.412,0.287,12,0.06,1260.2817704788456,32.95462709028495,66,-758.6734803553486
1,fixedhp100_v15,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-02-01,15,loss_rebound_t3,3,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,3091.114719633972,16.01910595150687,63,3091.114719633972
1,fixedhp100_v15,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-03-01,15,loss_rebound_t3,3,0.64,0.9998,-0.0005,0.0255,0.406,0.287,10,0.06,3091.114719633972,16.01910595150687,63,3091.114719633972
1,fixedhp100_v15,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-04-01,15,strong_hold_t3,3,0.68,0.9998,-0.0005,0.0265,0.412,0.275,10,0.06,1210.4722902389296,32.15320328232834,58,-712.3121036404714
1,fixedhp100_v15,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-03-01,15,t2_close,2,0.7,0.9998,-0.001,0.0255,0.412,0.287,12,0.065,856.8249510003373,19.11557618370554,60,498.5558089556725
1,fixedhp100_v15,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-03-01,15,t2_close,2,0.7,0.999,-0.0005,0.0255,0.412,0.287,12,0.065,853.1690760003371,19.11557618370554,60,494.89993395567234
1,fixedhp100_v15,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-03-01,15,t2_close,3,0.62,0.999,-0.0005,0.0255,0.412,0.287,12,0.06,1260.2817704788456,32.95462709028495,66,-758.6734803553486
1,fixedhp100_v15,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-02-01,15,loss_rebound_t3,3,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,3091.114719633972,16.01910595150687,63,3091.114719633972
