top_k,threshold,alloc,gap_min,gap_max,ret_pct,dd_pct,trades
1,0.55,0.95,-0.001,0.0255,362.7195568342,15.773147823902844,43
1,0.55,0.95,-0.001,0.0265,337.1365226713501,18.707257039806567,44
1,0.55,0.95,-0.001,0.0275,337.1365226713501,18.707257039806567,44
1,0.55,0.95,-0.0005,0.0255,362.7195568342,15.773147823902844,43
1,0.55,0.95,-0.0005,0.0265,337.1365226713501,18.707257039806567,44
1,0.55,0.95,-0.0005,0.0275,337.1365226713501,18.707257039806567,44
1,0.55,0.95,0.0,0.0255,362.7195568342,15.773147823902844,43
1,0.55,0.95,0.0,0.0265,337.1365226713501,18.707257039806567,44
1,0.55,0.95,0.0,0.0275,337.1365226713501,18.707257039806567,44
1,0.55,0.98,-0.001,0.0255,384.96448735704985,17.152715559651853,43
1,0.55,0.98,-0.001,0.0265,359.7367756941998,19.356848090433882,44
1,0.55,0.98,-0.001,0.0275,359.7367756941998,19.356848090433882,44
1,0.55,0.98,-0.0005,0.0255,384.96448735704985,17.152715559651853,43
1,0.55,0.98,-0.0005,0.0265,359.7367756941998,19.356848090433882,44
1,0.55,0.98,-0.0005,0.0275,359.7367756941998,19.356848090433882,44
1,0.55,0.98,0.0,0.0255,384.96448735704985,17.152715559651853,43
1,0.55,0.98,0.0,0.0265,359.7367756941998,19.356848090433882,44
1,0.55,0.98,0.0,0.0275,359.7367756941998,19.356848090433882,44
1,0.55,0.995,-0.001,0.0255,388.04389735704996,17.12599819941632,43
1,0.55,0.995,-0.001,0.0265,363.9888198570498,19.798067563533913,44
1,0.55,0.995,-0.001,0.0275,363.9888198570498,19.798067563533913,44
1,0.55,0.995,-0.0005,0.0255,388.04389735704996,17.12599819941632,43
1,0.55,0.995,-0.0005,0.0265,363.9888198570498,19.798067563533913,44
1,0.55,0.995,-0.0005,0.0275,363.9888198570498,19.798067563533913,44
1,0.55,0.995,0.0,0.0255,388.04389735704996,17.12599819941632,43
1,0.55,0.995,0.0,0.0265,363.9888198570498,19.798067563533913,44
1,0.55,0.995,0.0,0.0275,363.9888198570498,19.798067563533913,44
1,0.55,0.998,-0.001,0.0255,390.1285548570498,17.12599819941632,43
1,0.55,0.998,-0.001,0.0265,365.36823985704973,19.819053365067397,44
1,0.55,0.998,-0.001,0.0275,365.36823985704973,19.819053365067397,44
1,0.55,0.998,-0.0005,0.0255,390.1285548570498,17.12599819941632,43
1,0.55,0.998,-0.0005,0.0265,365.36823985704973,19.819053365067397,44
1,0.55,0.998,-0.0005,0.0275,365.36823985704973,19.819053365067397,44
1,0.55,0.998,0.0,0.0255,390.1285548570498,17.12599819941632,43
1,0.55,0.998,0.0,0.0265,365.36823985704973,19.819053365067397,44
1,0.55,0.998,0.0,0.0275,365.36823985704973,19.819053365067397,44
1,0.55,0.9998,-0.001,0.0255,390.58229485704976,17.12599819941632,43
1,0.55,0.9998,-0.001,0.0265,365.4670598570498,19.819053365067397,44
1,0.55,0.9998,-0.001,0.0275,365.4670598570498,19.819053365067397,44
1,0.55,0.9998,-0.0005,0.0255,390.58229485704976,17.12599819941632,43
1,0.55,0.9998,-0.0005,0.0265,365.4670598570498,19.819053365067397,44
1,0.55,0.9998,-0.0005,0.0275,365.4670598570498,19.819053365067397,44
1,0.55,0.9998,0.0,0.0255,390.58229485704976,17.12599819941632,43
1,0.55,0.9998,0.0,0.0265,365.4670598570498,19.819053365067397,44
1,0.55,0.9998,0.0,0.0275,365.4670598570498,19.819053365067397,44
1,0.6,0.95,-0.001,0.0255,365.37723687999994,15.773147823902844,42
1,0.6,0.95,-0.001,0.0265,340.26764188000004,18.707257039806567,43
1,0.6,0.95,-0.001,0.0275,340.26764188000004,18.707257039806567,43
1,0.6,0.95,-0.0005,0.0255,365.37723687999994,15.773147823902844,42
1,0.6,0.95,-0.0005,0.0265,340.26764188000004,18.707257039806567,43
1,0.6,0.95,-0.0005,0.0275,340.26764188000004,18.707257039806567,43
1,0.6,0.95,0.0,0.0255,365.37723687999994,15.773147823902844,42
1,0.6,0.95,0.0,0.0265,340.26764188000004,18.707257039806567,43
1,0.6,0.95,0.0,0.0275,340.26764188000004,18.707257039806567,43
1,0.6,0.98,-0.001,0.0255,387.8354057399998,17.152715559651853,42
1,0.6,0.98,-0.001,0.0265,362.3944557399999,19.356848090433882,43
1,0.6,0.98,-0.001,0.0275,362.3944557399999,19.356848090433882,43
1,0.6,0.98,-0.0005,0.0255,387.8354057399998,17.152715559651853,42
1,0.6,0.98,-0.0005,0.0265,362.3944557399999,19.356848090433882,43
1,0.6,0.98,-0.0005,0.0275,362.3944557399999,19.356848090433882,43
1,0.6,0.98,0.0,0.0255,387.8354057399998,17.152715559651853,42
1,0.6,0.98,0.0,0.0265,362.3944557399999,19.356848090433882,43
1,0.6,0.98,0.0,0.0275,362.3944557399999,19.356848090433882,43
1,0.6,0.995,-0.001,0.0255,390.9148157399999,17.12599819941632,42
1,0.6,0.995,-0.001,0.0265,366.8597382399998,19.798067563533913,43
1,0.6,0.995,-0.001,0.0275,366.8597382399998,19.798067563533913,43
1,0.6,0.995,-0.0005,0.0255,390.9148157399999,17.12599819941632,42
1,0.6,0.995,-0.0005,0.0265,366.8597382399998,19.798067563533913,43
1,0.6,0.995,-0.0005,0.0275,366.8597382399998,19.798067563533913,43
1,0.6,0.995,0.0,0.0255,390.9148157399999,17.12599819941632,42
1,0.6,0.995,0.0,0.0265,366.8597382399998,19.798067563533913,43
1,0.6,0.995,0.0,0.0275,366.8597382399998,19.798067563533913,43
1,0.6,0.998,-0.001,0.0255,393.6861507399998,17.12599819941632,42
1,0.6,0.998,-0.001,0.0265,369.02465573999984,19.819053365067397,43
1,0.6,0.998,-0.001,0.0275,369.02465573999984,19.819053365067397,43
1,0.6,0.998,-0.0005,0.0255,393.6861507399998,17.12599819941632,42
1,0.6,0.998,-0.0005,0.0265,369.02465573999984,19.819053365067397,43
1,0.6,0.998,-0.0005,0.0275,369.02465573999984,19.819053365067397,43
1,0.6,0.998,0.0,0.0255,393.6861507399998,17.12599819941632,42
1,0.6,0.998,0.0,0.0265,369.02465573999984,19.819053365067397,43
1,0.6,0.998,0.0,0.0275,369.02465573999984,19.819053365067397,43
1,0.6,0.9998,-0.001,0.0255,393.45321323999974,17.12599819941632,42
1,0.6,0.9998,-0.001,0.0265,369.02465573999984,19.819053365067397,43
1,0.6,0.9998,-0.001,0.0275,369.02465573999984,19.819053365067397,43
1,0.6,0.9998,-0.0005,0.0255,393.45321323999974,17.12599819941632,42
1,0.6,0.9998,-0.0005,0.0265,369.02465573999984,19.819053365067397,43
1,0.6,0.9998,-0.0005,0.0275,369.02465573999984,19.819053365067397,43
1,0.6,0.9998,0.0,0.0255,393.45321323999974,17.12599819941632,42
1,0.6,0.9998,0.0,0.0265,369.02465573999984,19.819053365067397,43
1,0.6,0.9998,0.0,0.0275,369.02465573999984,19.819053365067397,43
1,0.65,0.95,-0.001,0.0255,365.37723687999994,15.773147823902844,42
1,0.65,0.95,-0.001,0.0265,340.26764188000004,18.707257039806567,43
1,0.65,0.95,-0.001,0.0275,340.26764188000004,18.707257039806567,43
1,0.65,0.95,-0.0005,0.0255,365.37723687999994,15.773147823902844,42
1,0.65,0.95,-0.0005,0.0265,340.26764188000004,18.707257039806567,43
1,0.65,0.95,-0.0005,0.0275,340.26764188000004,18.707257039806567,43
1,0.65,0.95,0.0,0.0255,365.37723687999994,15.773147823902844,42
1,0.65,0.95,0.0,0.0265,340.26764188000004,18.707257039806567,43
1,0.65,0.95,0.0,0.0275,340.26764188000004,18.707257039806567,43
1,0.65,0.98,-0.001,0.0255,387.8354057399998,17.152715559651853,42
1,0.65,0.98,-0.001,0.0265,362.3944557399999,19.356848090433882,43
1,0.65,0.98,-0.001,0.0275,362.3944557399999,19.356848090433882,43
1,0.65,0.98,-0.0005,0.0255,387.8354057399998,17.152715559651853,42
1,0.65,0.98,-0.0005,0.0265,362.3944557399999,19.356848090433882,43
1,0.65,0.98,-0.0005,0.0275,362.3944557399999,19.356848090433882,43
1,0.65,0.98,0.0,0.0255,387.8354057399998,17.152715559651853,42
1,0.65,0.98,0.0,0.0265,362.3944557399999,19.356848090433882,43
1,0.65,0.98,0.0,0.0275,362.3944557399999,19.356848090433882,43
1,0.65,0.995,-0.001,0.0255,390.9148157399999,17.12599819941632,42
1,0.65,0.995,-0.001,0.0265,366.8597382399998,19.798067563533913,43
1,0.65,0.995,-0.001,0.0275,366.8597382399998,19.798067563533913,43
1,0.65,0.995,-0.0005,0.0255,390.9148157399999,17.12599819941632,42
