seed,seed_offset,threshold,alloc,ret_pct,dd_pct,trades
52,0,0.55,0.94,50.038365760000026,39.88188487837387,70
52,0,0.55,0.942,50.038365760000026,39.88188487837387,70
52,0,0.55,0.944,49.45836576000002,39.99931652189578,70
52,0,0.55,0.946,49.45836576000002,39.99931652189578,70
52,0,0.55,0.948,52.24836576000003,39.5634200237758,70
52,0,0.55,0.95,45.738365760000036,40.539621007222735,70
52,0,0.55,0.952,45.61868412000001,40.564843930478425,70
52,0,0.55,0.954,48.10868412000002,40.275279851941164,70
52,0,0.55,0.956,48.088684120000025,41.11671687125737,70
52,0,0.55,0.958,48.088684120000025,41.11671687125737,70
52,0,0.55,0.96,47.308684120000024,41.37941121666901,70
52,0,0.55,0.962,47.19868412000001,41.473417679931615,70
52,0,0.55,0.964,47.19868412000001,41.473417679931615,70
52,0,0.55,0.966,47.19868412000001,41.473417679931615,70
52,0,0.55,0.968,48.62868412000001,41.17763410424316,70
52,0,0.55,0.97,48.988684120000016,41.30396603303303,70
52,0,0.55,0.972,48.988684120000016,41.30396603303303,70
52,0,0.55,0.974,45.97373874000004,41.56076502632571,70
52,0,0.55,0.976,45.11373874000002,41.82629639152646,70
52,0,0.55,0.978,44.87373874000002,41.94884932931143,70
52,0,0.55,0.98,44.95373874000001,41.94884932931143,70
52,0,0.55,0.982,47.553738740000014,41.402136377442886,70
52,0,0.55,0.984,47.553738740000014,41.402136377442886,70
52,0,0.55,0.986,47.05373874000003,41.50739761330339,70
52,0,0.55,0.988,47.05373874000003,41.50739761330339,70
52,0,0.55,0.99,46.373738740000036,41.85316547287765,70
52,0,0.55,0.992,46.34373874000002,41.85955092316828,70
52,0,0.55,0.994,46.34373874000002,41.85955092316828,70
52,0,0.55,0.996,43.063738740000026,42.783687800849535,70
52,0,0.55,0.998,45.803738740000036,42.55775892368941,70
52,0,0.55,1.0,42.343738740000035,42.94089749489077,70
52,0,0.552,0.94,50.038365760000026,39.88188487837387,70
52,0,0.552,0.942,50.038365760000026,39.88188487837387,70
52,0,0.552,0.944,49.45836576000002,39.99931652189578,70
52,0,0.552,0.946,49.45836576000002,39.99931652189578,70
52,0,0.552,0.948,52.24836576000003,39.5634200237758,70
52,0,0.552,0.95,45.738365760000036,40.539621007222735,70
52,0,0.552,0.952,45.61868412000001,40.564843930478425,70
52,0,0.552,0.954,48.10868412000002,40.275279851941164,70
52,0,0.552,0.956,48.088684120000025,41.11671687125737,70
52,0,0.552,0.958,48.088684120000025,41.11671687125737,70
52,0,0.552,0.96,47.308684120000024,41.37941121666901,70
52,0,0.552,0.962,47.19868412000001,41.473417679931615,70
52,0,0.552,0.964,47.19868412000001,41.473417679931615,70
52,0,0.552,0.966,47.19868412000001,41.473417679931615,70
52,0,0.552,0.968,48.62868412000001,41.17763410424316,70
52,0,0.552,0.97,48.988684120000016,41.30396603303303,70
52,0,0.552,0.972,48.988684120000016,41.30396603303303,70
52,0,0.552,0.974,45.97373874000004,41.56076502632571,70
52,0,0.552,0.976,45.11373874000002,41.82629639152646,70
52,0,0.552,0.978,44.87373874000002,41.94884932931143,70
52,0,0.552,0.98,44.95373874000001,41.94884932931143,70
52,0,0.552,0.982,47.553738740000014,41.402136377442886,70
52,0,0.552,0.984,47.553738740000014,41.402136377442886,70
52,0,0.552,0.986,47.05373874000003,41.50739761330339,70
52,0,0.552,0.988,47.05373874000003,41.50739761330339,70
52,0,0.552,0.99,46.373738740000036,41.85316547287765,70
52,0,0.552,0.992,46.34373874000002,41.85955092316828,70
52,0,0.552,0.994,46.34373874000002,41.85955092316828,70
52,0,0.552,0.996,43.063738740000026,42.783687800849535,70
52,0,0.552,0.998,45.803738740000036,42.55775892368941,70
52,0,0.552,1.0,42.343738740000035,42.94089749489077,70
52,0,0.554,0.94,50.038365760000026,39.88188487837387,70
52,0,0.554,0.942,50.038365760000026,39.88188487837387,70
52,0,0.554,0.944,49.45836576000002,39.99931652189578,70
52,0,0.554,0.946,49.45836576000002,39.99931652189578,70
52,0,0.554,0.948,52.24836576000003,39.5634200237758,70
52,0,0.554,0.95,45.738365760000036,40.539621007222735,70
52,0,0.554,0.952,45.61868412000001,40.564843930478425,70
52,0,0.554,0.954,48.10868412000002,40.275279851941164,70
52,0,0.554,0.956,48.088684120000025,41.11671687125737,70
52,0,0.554,0.958,48.088684120000025,41.11671687125737,70
52,0,0.554,0.96,47.308684120000024,41.37941121666901,70
52,0,0.554,0.962,47.19868412000001,41.473417679931615,70
52,0,0.554,0.964,47.19868412000001,41.473417679931615,70
52,0,0.554,0.966,47.19868412000001,41.473417679931615,70
52,0,0.554,0.968,48.62868412000001,41.17763410424316,70
52,0,0.554,0.97,48.988684120000016,41.30396603303303,70
52,0,0.554,0.972,48.988684120000016,41.30396603303303,70
52,0,0.554,0.974,45.97373874000004,41.56076502632571,70
52,0,0.554,0.976,45.11373874000002,41.82629639152646,70
52,0,0.554,0.978,44.87373874000002,41.94884932931143,70
52,0,0.554,0.98,44.95373874000001,41.94884932931143,70
52,0,0.554,0.982,47.553738740000014,41.402136377442886,70
52,0,0.554,0.984,47.553738740000014,41.402136377442886,70
