stage,hidden,epochs,lr,weight_decay,target_gt,seed,tag,score_base_start,alpha,sell_rule,top_k,threshold,alloc,gap_min,gap_max,max_broken_rate,min_red_rate,max_limit_down,max_pullback,ret_pct,dd_pct,trades,obj
stage1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-02-01,15,loss_rebound_t3,3,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,3091.114719633972,16.01910595150687,63,3091.114719633972
stage1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-02-01,15,loss_rebound_t3,3,0.64,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,1898.4207982997993,18.22800339605088,63,1646.6603907736935
stage1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-02-01,15,loss_rebound_t3,3,0.68,0.9998,-0.0005,0.0255,0.406,0.287,10,0.06,3091.114719633972,16.01910595150687,63,3091.114719633972
stage1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-03-01,15,loss_rebound_t3,3,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,3067.704368464772,16.01910595150687,64,3067.704368464772
stage1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-03-01,15,loss_rebound_t3,3,0.64,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,1898.4207982997993,18.22800339605088,63,1646.6603907736935
stage1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-03-01,15,loss_rebound_t3,3,0.68,0.9998,-0.0005,0.0255,0.406,0.287,10,0.06,3091.114719633972,16.01910595150687,63,3091.114719633972
stage1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-04-01,15,loss_rebound_t3,3,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,2711.918511273784,16.03138098447767,63,2711.918511273784
stage1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-04-01,15,loss_rebound_t3,3,0.64,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,1683.825042462307,18.22800339605088,62,1432.0646349362012
stage1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-04-01,15,loss_rebound_t3,3,0.68,0.9998,-0.0005,0.0255,0.406,0.287,10,0.06,2733.0793640714837,16.03138098447767,62,2733.0793640714837
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,15,strong_hold_t3,3,0.7,0.999,-0.001,0.0255,0.412,0.275,10,0.065,1158.553545702379,32.20287141604272,58,-770.1910242227473
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,15,loss_rebound_t3,3,0.68,0.999,-0.0005,0.0265,0.406,0.287,12,0.06,1224.9615996022494,21.013409094673012,64,638.9525082414879
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,15,strong_hold_t3,3,0.7,0.999,-0.001,0.0255,0.412,0.287,10,0.06,1158.553545702379,32.20287141604272,58,-770.1910242227473
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,18,t2_close,2,0.68,0.9998,-0.0005,0.0255,0.406,0.287,10,0.06,648.22404987776,44.90866532515834,55,-2805.2157891412407
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,16,strong_hold_t3,2,0.7,0.999,-0.0005,0.0255,0.406,0.275,10,0.065,405.09789746069515,36.010750190403975,57,-1980.5921253877818
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,15,t2_close,4,0.64,0.999,-0.0005,0.0255,0.412,0.275,10,0.065,1106.832333088175,31.643502611646156,66,-754.787980309364
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,16,loss_rebound_t3,4,0.7,0.999,-0.0005,0.0255,0.412,0.275,10,0.065,465.7302595825903,45.99201639093261,64,-3117.711707329323
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,16,t2_close,2,0.66,0.999,-0.001,0.0255,0.412,0.287,10,0.065,868.14751289561,35.93626567709273,58,-1508.6043683555176
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,17,loss_rebound_t3,3,0.68,0.9998,-0.0005,0.0255,0.406,0.287,12,0.065,483.4963585130848,40.729678504126426,62,-2468.4650619820864
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,14,loss_rebound_t3,4,0.66,0.9998,-0.0005,0.0265,0.412,0.275,10,0.065,1049.4338484138727,39.18381787767662,66,-1717.0242969073213
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,18,loss_rebound_t3,2,0.68,0.999,-0.001,0.0255,0.412,0.275,12,0.06,268.69500763128957,54.70838600444395,53,-4360.711312901985
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,17,strong_hold_t3,3,0.66,0.999,-0.0005,0.0265,0.412,0.287,10,0.065,1256.306024982574,22.168916708320396,58,531.6360199841264
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,15,t2_close,2,0.64,0.9998,-0.0005,0.0255,0.406,0.287,12,0.06,856.8114310003372,19.11557618370554,60,498.5422889556724
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,15,t2_close,3,0.7,0.999,-0.0005,0.0255,0.412,0.275,12,0.065,1260.2817704788456,32.95462709028495,66,-758.6734803553486
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,15,loss_rebound_t3,4,0.64,0.9998,-0.0005,0.0255,0.412,0.287,10,0.06,1374.3882058724812,39.18381787767662,66,-1392.0699394487128
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,18,t2_close,2,0.64,0.999,-0.0005,0.0255,0.412,0.287,12,0.06,601.6293506347598,44.89134993504175,57,-2849.7326415702505
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,18,t2_close,2,0.66,1.0,-0.0005,0.0255,0.412,0.275,12,0.06,601.3394881347598,44.90866532515834,57,-2852.100350884241
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,14,loss_rebound_t3,2,0.62,1.0,-0.001,0.0255,0.412,0.275,10,0.065,1222.6346100820292,27.93417352535012,55,-193.8662129599852
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,15,loss_rebound_t3,2,0.64,0.999,-0.001,0.0255,0.412,0.287,12,0.065,1009.9978609658697,27.93417352535012,57,-406.50296207614474
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,16,strong_hold_t3,4,0.66,1.0,-0.0005,0.0255,0.406,0.275,10,0.06,417.51854698015006,36.38160750721043,62,-2012.674353885102
