stage,hidden,epochs,lr,weight_decay,target_gt,seed,tag,alpha,threshold,alloc,gap_min,gap_max,ret_pct,dd_pct,trades,obj
stage1,88,500,0.021,0.0002,0.01,440,incumbent,15,0.6,0.9998,-0.001,0.0255,3055.384797133972,16.01910595150687,64,3055.384797133972
stage1,88,500,0.021,0.0002,0.01,440,incumbent,15,0.62,0.9998,-0.001,0.0255,3055.384797133972,16.01910595150687,64,3055.384797133972
stage1,88,500,0.021,0.0002,0.01,440,incumbent,15,0.64,0.9998,-0.0005,0.0265,3055.384797133972,16.01910595150687,64,3055.384797133972
stage1,88,520,0.0205,0.0002,0.01,440,local,15,0.6,0.9998,-0.001,0.0255,3032.330230964772,16.01910595150687,65,3032.330230964772
stage1,88,520,0.0205,0.0002,0.01,440,local,15,0.62,0.9998,-0.001,0.0255,3055.384797133972,16.01910595150687,64,3055.384797133972
stage1,88,520,0.0205,0.0002,0.01,440,local,15,0.64,0.9998,-0.0005,0.0265,1876.7631482998,18.22800339605088,64,1625.002740773694
stage1,88,540,0.02,0.0002,0.01,440,local,15,0.6,0.9998,-0.001,0.0255,2932.8208070544856,16.035957084464663,65,2932.8208070544856
stage1,88,540,0.02,0.0002,0.01,440,local,15,0.62,0.9998,-0.001,0.0255,2955.6267890493855,16.035957084464663,64,2955.6267890493855
stage1,88,540,0.02,0.0002,0.01,440,local,15,0.64,0.9998,-0.0005,0.0265,1825.28217279184,18.348642515594296,64,1559.0450709205243
stage1,88,560,0.02,0.0002,0.01,440,local,15,0.6,0.9998,-0.001,0.0255,2925.1763212287856,15.991072045273485,64,2925.1763212287856
stage1,88,560,0.02,0.0002,0.01,440,local,15,0.62,0.9998,-0.001,0.0255,2925.1763212287856,15.991072045273485,64,2925.1763212287856
stage1,88,560,0.02,0.0002,0.01,440,local,15,0.64,0.9998,-0.0005,0.0265,1829.4775952918396,18.348642515594296,63,1563.240493420524
stage1,88,580,0.0198,0.0002,0.01,440,local,15,0.6,0.9998,-0.001,0.0255,2363.339152673537,16.03521315950583,64,2363.339152673537
stage1,88,580,0.0198,0.0002,0.01,440,local,15,0.62,0.9998,-0.001,0.0255,2363.339152673537,16.03521315950583,64,2363.339152673537
stage1,88,580,0.0198,0.0002,0.01,440,local,15,0.64,0.9998,-0.0005,0.0265,1469.7964966793422,19.486806295176873,63,1066.9797412581174
stage1,88,600,0.0195,0.0002,0.01,440,local,15,0.6,0.9998,-0.001,0.0255,2363.339152673537,16.03521315950583,64,2363.339152673537
stage1,88,600,0.0195,0.0002,0.01,440,local,15,0.62,0.9998,-0.001,0.0255,2363.339152673537,16.03521315950583,64,2363.339152673537
stage1,88,600,0.0195,0.0002,0.01,440,local,15,0.64,0.9998,-0.0005,0.0265,1458.050893181893,19.486806295176873,64,1055.234137760668
stage1,88,620,0.0192,0.00018,0.01,440,local,15,0.6,0.9998,-0.001,0.0255,2363.339152673537,16.03521315950583,64,2363.339152673537
stage1,88,620,0.0192,0.00018,0.01,440,local,15,0.62,0.9998,-0.001,0.0255,2363.339152673537,16.03521315950583,64,2363.339152673537
stage1,88,620,0.0192,0.00018,0.01,440,local,15,0.64,0.9998,-0.0005,0.0265,1458.050893181893,19.486806295176873,64,1055.234137760668
stage1,88,500,0.0205,0.00018,0.01,440,local,15,0.6,0.9998,-0.001,0.0255,2864.287344633972,20.487777580081044,64,2341.354035024247
stage1,88,500,0.0205,0.00018,0.01,440,local,15,0.62,0.9998,-0.001,0.0255,2864.287344633972,20.487777580081044,64,2341.354035024247
