round,stage,hidden,epochs,lr,weight_decay,target_gt,seed,tag,score_base_start,alpha,sell_rule,top_k,threshold,alloc,gap_min,gap_max,max_broken_rate,min_red_rate,max_limit_down,max_pullback,ret_pct,dd_pct,trades,obj
1,fixedhp100_v16,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,15,loss_rebound_t3,3,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,3091.114719633972,16.01910595150687,63,3091.114719633972
1,fixedhp100_v16,88,500,0.021,0.0002,0.01,440,incumbent,2025-03-01,15,loss_rebound_t3,3,0.64,0.9998,-0.0005,0.0255,0.406,0.287,10,0.06,3091.114719633972,16.01910595150687,63,3091.114719633972
1,fixedhp100_v16,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,15,strong_hold_t3,2,0.62,0.999,-0.0005,0.0265,0.406,0.275,10,0.06,834.8692279241454,21.018873096243667,57,248.20445637490536
1,fixedhp100_v16,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,15,strong_hold_t3,3,0.66,1.0,-0.0005,0.0255,0.406,0.275,12,0.06,740.7248040804297,36.62935923043512,59,-1719.198303571785
1,fixedhp100_v16,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,15,t2_close,2,0.68,0.9998,-0.0005,0.0265,0.412,0.275,10,0.06,1238.2918278100665,19.11557618370554,58,880.0226857654018
1,fixedhp100_v16,88,500,0.021,0.0002,0.01,440,incumbent,2025-04-01,15,loss_rebound_t3,3,0.7,1.0,-0.001,0.0255,0.412,0.275,12,0.065,1116.5885049230033,21.02060346539887,63,529.7160890751386
1,fixedhp100_v16,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-02-01,15,loss_rebound_t3,3,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,3091.114719633972,16.01910595150687,63,3091.114719633972
1,fixedhp100_v16,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-03-01,15,loss_rebound_t3,3,0.64,0.9998,-0.0005,0.0255,0.406,0.287,10,0.06,3091.114719633972,16.01910595150687,63,3091.114719633972
1,fixedhp100_v16,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-02-01,15,strong_hold_t3,2,0.62,0.999,-0.0005,0.0265,0.406,0.275,10,0.06,834.8692279241454,21.018873096243667,57,248.20445637490536
1,fixedhp100_v16,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-02-01,15,strong_hold_t3,3,0.66,1.0,-0.0005,0.0255,0.406,0.275,12,0.06,740.7248040804297,36.62935923043512,59,-1719.198303571785
1,fixedhp100_v16,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-02-01,15,t2_close,2,0.68,0.9998,-0.0005,0.0265,0.412,0.275,10,0.06,1128.526546890537,19.11557618370554,58,770.2574048458723
1,fixedhp100_v16,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-04-01,15,loss_rebound_t3,3,0.7,1.0,-0.001,0.0255,0.412,0.275,12,0.065,1116.5885049230033,21.02060346539887,63,529.7160890751386
