round,stage,hidden,epochs,lr,weight_decay,target_gt,seed,tag,score_base_start,alpha,sell_rule,top_k,threshold,alloc,gap_min,gap_max,max_broken_rate,min_red_rate,max_limit_down,max_pullback,ret_pct,dd_pct,trades,obj
3,fixedhp100_v17,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-04-01,15,strong_hold_t3,3,0.62,1.0,-0.0005,0.0255,0.406,0.275,12,0.06,770.3444926015301,36.57978749203921,60,-1683.6300064431753
3,fixedhp100_v17,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-03-01,15,t2_close,3,0.62,1.0,-0.001,0.0255,0.412,0.275,12,0.065,1260.7523254788455,32.960379260611916,66,-758.8931857945845
3,fixedhp100_v17,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-02-01,15,loss_rebound_t3,3,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,3091.114719633972,16.01910595150687,63,3091.114719633972
3,fixedhp100_v17,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-03-01,15,loss_rebound_t3,3,0.64,0.9998,-0.0005,0.0255,0.406,0.287,10,0.06,3091.114719633972,16.01910595150687,63,3091.114719633972
3,fixedhp100_v17,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-02-01,15,loss_rebound_t3,4,0.64,1.0,-0.0005,0.0255,0.406,0.275,10,0.06,1374.3882058724812,39.18381787767662,66,-1392.0699394487128
3,fixedhp100_v17,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-02-01,15,strong_hold_t3,3,0.64,0.9998,-0.0005,0.0255,0.406,0.287,10,0.065,1073.1852332023798,36.616589067826595,58,-1385.205454936812
3,fixedhp100_v17,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-04-01,15,strong_hold_t3,3,0.62,1.0,-0.0005,0.0255,0.406,0.275,12,0.06,770.3444926015301,36.57978749203921,60,-1683.6300064431753
3,fixedhp100_v17,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-03-01,15,t2_close,3,0.62,1.0,-0.001,0.0255,0.412,0.275,12,0.065,1260.7523254788455,32.960379260611916,66,-758.8931857945845
3,fixedhp100_v17,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-02-01,15,loss_rebound_t3,3,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,3091.114719633972,16.01910595150687,63,3091.114719633972
3,fixedhp100_v17,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-03-01,15,loss_rebound_t3,3,0.64,0.9998,-0.0005,0.0255,0.406,0.287,10,0.06,3091.114719633972,16.01910595150687,63,3091.114719633972
3,fixedhp100_v17,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-02-01,15,loss_rebound_t3,4,0.64,1.0,-0.0005,0.0255,0.406,0.275,10,0.06,1374.3882058724812,39.18381787767662,66,-1392.0699394487128
3,fixedhp100_v17,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-02-01,15,strong_hold_t3,3,0.64,0.9998,-0.0005,0.0255,0.406,0.287,10,0.065,1073.1852332023798,36.616589067826595,58,-1385.205454936812
3,fixedhp100_v17,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-04-01,15,strong_hold_t3,3,0.62,1.0,-0.0005,0.0255,0.406,0.275,12,0.06,732.8499922801797,36.62935923043512,60,-1727.0731153720349
3,fixedhp100_v17,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-03-01,15,t2_close,3,0.62,1.0,-0.001,0.0255,0.412,0.275,12,0.065,1251.1571136327952,32.960379260611916,67,-768.4883976406347
3,fixedhp100_v17,88,480,0.022,0.0002,0.01,440,local_alt,2025-02-01,15,loss_rebound_t3,3,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,3091.114719633972,16.01910595150687,63,3091.114719633972
3,fixedhp100_v17,88,480,0.022,0.0002,0.01,440,local_alt,2025-03-01,15,loss_rebound_t3,3,0.64,0.9998,-0.0005,0.0255,0.406,0.287,10,0.06,3091.114719633972,16.01910595150687,63,3091.114719633972
3,fixedhp100_v17,88,480,0.022,0.0002,0.01,440,local_alt,2025-02-01,15,loss_rebound_t3,4,0.64,1.0,-0.0005,0.0255,0.406,0.275,10,0.06,1374.3882058724812,39.18381787767662,66,-1392.0699394487128
3,fixedhp100_v17,88,480,0.022,0.0002,0.01,440,local_alt,2025-02-01,15,strong_hold_t3,3,0.64,0.9998,-0.0005,0.0255,0.406,0.287,10,0.065,1073.1852332023798,36.616589067826595,58,-1385.205454936812
3,fixedhp100_v17,88,480,0.022,0.0002,0.01,440,local_alt,2025-04-01,15,strong_hold_t3,3,0.62,1.0,-0.0005,0.0255,0.406,0.275,12,0.06,770.3444926015301,36.57978749203921,60,-1683.6300064431753
3,fixedhp100_v17,88,480,0.022,0.0002,0.01,440,local_alt,2025-03-01,15,t2_close,3,0.62,1.0,-0.001,0.0255,0.412,0.275,12,0.065,1260.7523254788455,32.960379260611916,66,-758.8931857945845
4,fixedhp100_v17,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,15,loss_rebound_t3,3,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,3091.114719633972,16.01910595150687,63,3091.114719633972
4,fixedhp100_v17,88,500,0.021,0.0002,0.01,440,incumbent,2025-03-01,15,loss_rebound_t3,3,0.64,0.9998,-0.0005,0.0255,0.406,0.287,10,0.06,3091.114719633972,16.01910595150687,63,3091.114719633972
4,fixedhp100_v17,88,500,0.021,0.0002,0.01,440,incumbent,2025-03-01,15,t2_close,3,0.64,1.0,-0.001,0.0255,0.406,0.287,12,0.065,1175.1699554788447,37.32729189001565,65,-1368.5050713230335
4,fixedhp100_v17,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,15,strong_hold_t3,4,0.7,0.9998,-0.0005,0.0255,0.412,0.275,12,0.06,486.60901447603743,31.043325781274905,64,-1302.9900792769513
4,fixedhp100_v17,88,500,0.021,0.0002,0.01,440,incumbent,2025-04-01,15,t2_close,3,0.7,0.9998,-0.0005,0.0255,0.406,0.287,12,0.065,1074.805418292915,37.255323695963554,64,-1460.2334252227115
4,fixedhp100_v17,88,500,0.021,0.0002,0.01,440,incumbent,2025-04-01,15,strong_hold_t3,4,0.64,0.999,-0.0005,0.0255,0.412,0.287,12,0.065,487.6358155926474,32.310351008376564,64,-1454.0063054125403
4,fixedhp100_v17,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-02-01,15,loss_rebound_t3,3,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,3091.114719633972,16.01910595150687,63,3091.114719633972
4,fixedhp100_v17,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-03-01,15,loss_rebound_t3,3,0.64,0.9998,-0.0005,0.0255,0.406,0.287,10,0.06,3091.114719633972,16.01910595150687,63,3091.114719633972
4,fixedhp100_v17,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-03-01,15,t2_close,3,0.64,1.0,-0.001,0.0255,0.406,0.287,12,0.065,1175.1699554788447,37.32729189001565,65,-1368.5050713230335
4,fixedhp100_v17,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-02-01,15,strong_hold_t3,4,0.7,0.9998,-0.0005,0.0255,0.412,0.275,12,0.06,486.60901447603743,31.043325781274905,64,-1302.9900792769513
4,fixedhp100_v17,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-04-01,15,t2_close,3,0.7,0.9998,-0.0005,0.0255,0.406,0.287,12,0.065,1074.805418292915,37.255323695963554,64,-1460.2334252227115
4,fixedhp100_v17,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-04-01,15,strong_hold_t3,4,0.64,0.999,-0.0005,0.0255,0.412,0.287,12,0.065,487.6358155926474,32.310351008376564,64,-1454.0063054125403
4,fixedhp100_v17,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-02-01,15,loss_rebound_t3,3,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,3091.114719633972,16.01910595150687,63,3091.114719633972
4,fixedhp100_v17,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-03-01,15,loss_rebound_t3,3,0.64,0.9998,-0.0005,0.0255,0.406,0.287,10,0.06,3091.114719633972,16.01910595150687,63,3091.114719633972
4,fixedhp100_v17,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-03-01,15,t2_close,3,0.64,1.0,-0.001,0.0255,0.406,0.287,12,0.065,1175.1699554788447,37.32729189001565,65,-1368.5050713230335
4,fixedhp100_v17,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-02-01,15,strong_hold_t3,4,0.7,0.9998,-0.0005,0.0255,0.412,0.275,12,0.06,486.60901447603743,31.043325781274905,64,-1302.9900792769513
4,fixedhp100_v17,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-04-01,15,t2_close,3,0.7,0.9998,-0.0005,0.0255,0.406,0.287,12,0.065,1074.805418292915,37.255323695963554,64,-1460.2334252227115
4,fixedhp100_v17,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-04-01,15,strong_hold_t3,4,0.64,0.999,-0.0005,0.0255,0.412,0.287,12,0.065,487.6358155926474,32.310351008376564,64,-1454.0063054125403
4,fixedhp100_v17,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-02-01,15,loss_rebound_t3,3,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,3091.114719633972,16.01910595150687,63,3091.114719633972
4,fixedhp100_v17,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-03-01,15,loss_rebound_t3,3,0.64,0.9998,-0.0005,0.0255,0.406,0.287,10,0.06,3091.114719633972,16.01910595150687,63,3091.114719633972
4,fixedhp100_v17,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-03-01,15,t2_close,3,0.64,1.0,-0.001,0.0255,0.406,0.287,12,0.065,1175.1699554788447,37.32729189001565,65,-1368.5050713230335
4,fixedhp100_v17,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-02-01,15,strong_hold_t3,4,0.7,0.9998,-0.0005,0.0255,0.412,0.275,12,0.06,486.60901447603743,31.043325781274905,64,-1302.9900792769513
4,fixedhp100_v17,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-04-01,15,t2_close,3,0.7,0.9998,-0.0005,0.0255,0.406,0.287,12,0.065,1041.2418810288546,36.70654464108668,64,-1427.9434759015471
4,fixedhp100_v17,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-04-01,15,strong_hold_t3,4,0.64,0.999,-0.0005,0.0255,0.412,0.287,12,0.065,484.84348007389224,31.048686182309602,64,-1305.39886180326
4,fixedhp100_v17,88,480,0.022,0.0002,0.01,440,local_alt,2025-02-01,15,loss_rebound_t3,3,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,3091.114719633972,16.01910595150687,63,3091.114719633972
4,fixedhp100_v17,88,480,0.022,0.0002,0.01,440,local_alt,2025-03-01,15,loss_rebound_t3,3,0.64,0.9998,-0.0005,0.0255,0.406,0.287,10,0.06,3091.114719633972,16.01910595150687,63,3091.114719633972
