stage,hidden,epochs,lr,weight_decay,target_gt,seed,tag,alpha,threshold,alloc,gap_min,gap_max,ret_pct,dd_pct,trades,obj
stage1,88,500,0.021,0.00016,0.01,438,seed_scan_wd16,15,0.64,0.9998,-0.0005,0.0265,-66.71339320999998,78.44451136266554,60,-7544.454756729864
stage1,88,500,0.021,0.00016,0.01,438,seed_scan_wd16,15,0.6,0.998,-0.001,0.0255,-66.77071547999998,78.4897774116348,61,-7549.944004876177
stage1,88,500,0.0215,0.00022,0.01,438,seed_scan_lr215,15,0.6,0.9998,-0.001,0.0255,-66.76857315999999,78.48808567189688,62,-7549.738853787627
stage1,88,500,0.0215,0.00022,0.01,438,seed_scan_lr215,15,0.62,0.9998,-0.001,0.0255,-66.76857315999999,78.48808567189688,62,-7549.738853787627
stage1,88,500,0.0215,0.00022,0.01,438,seed_scan_lr215,15,0.64,0.9998,-0.0005,0.0265,-56.415861050000004,73.46360150634193,61,-6936.448041811032
stage1,88,500,0.0215,0.00022,0.01,438,seed_scan_lr215,15,0.6,0.998,-0.001,0.0255,-66.76857315999999,78.48808567189688,62,-7549.738853787627
stage1,88,500,0.021,0.0002,0.01,439,seed_scan_base,15,0.6,0.9998,-0.001,0.0255,14.70323223000003,51.02180346845342,62,-4172.31318398441
stage1,88,500,0.021,0.0002,0.01,439,seed_scan_base,15,0.62,0.9998,-0.001,0.0255,14.70323223000003,51.02180346845342,62,-4172.31318398441
stage1,88,500,0.021,0.0002,0.01,439,seed_scan_base,15,0.64,0.9998,-0.0005,0.0265,23.36148213,49.73258131428812,61,-4008.9482755845743
stage1,88,500,0.021,0.0002,0.01,439,seed_scan_base,15,0.6,0.998,-0.001,0.0255,15.033232230000038,50.89578606703159,62,-4156.86109581379
stage1,88,520,0.0205,0.0002,0.01,439,seed_scan_e520,15,0.6,0.9998,-0.001,0.0255,14.70323223000003,51.02180346845342,62,-4172.31318398441
stage1,88,520,0.0205,0.0002,0.01,439,seed_scan_e520,15,0.62,0.9998,-0.001,0.0255,14.70323223000003,51.02180346845342,62,-4172.31318398441
stage1,88,520,0.0205,0.0002,0.01,439,seed_scan_e520,15,0.64,0.9998,-0.0005,0.0265,23.36148213,49.73258131428812,61,-4008.9482755845743
stage1,88,520,0.0205,0.0002,0.01,439,seed_scan_e520,15,0.6,0.998,-0.001,0.0255,15.033232230000038,50.89578606703159,62,-4156.86109581379
stage1,88,520,0.0205,0.0002,0.01,440,seed_scan_e520,15,0.6,0.9998,-0.001,0.0255,3032.330230964772,16.01910595150687,65,3032.330230964772
stage1,88,520,0.0205,0.0002,0.01,440,seed_scan_e520,15,0.62,0.9998,-0.001,0.0255,3055.384797133972,16.01910595150687,64,3055.384797133972
stage1,88,520,0.0205,0.0002,0.01,440,seed_scan_e520,15,0.64,0.9998,-0.0005,0.0265,1876.7631482998,18.22800339605088,64,1625.002740773694
stage1,88,520,0.0205,0.0002,0.01,440,seed_scan_e520,15,0.6,0.998,-0.001,0.0255,3031.0355084647726,15.970330460477403,65,3031.0355084647726
