round,stage,hidden,epochs,lr,weight_decay,target_gt,seed,tag,score_base_start,alpha,sell_rule,top_k,threshold,alloc,gap_min,gap_max,max_broken_rate,min_red_rate,max_limit_down,max_pullback,ret_pct,dd_pct,trades,obj
1,batch10,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-03-01,15,loss_rebound_t3,3,0.64,0.9998,-0.0005,0.0255,0.412,0.287,10,0.065,3091.114719633972,16.01910595150687,63,3091.114719633972
1,batch10,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-03-01,15,loss_rebound_t3,3,0.68,0.9998,-0.001,0.0255,0.406,0.287,10,0.06,3091.114719633972,16.01910595150687,63,3091.114719633972
1,batch10,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-03-01,14,strong_hold_t3,4,0.66,0.9998,-0.0005,0.0255,0.412,0.275,10,0.065,625.7905254905,31.542077943850032,63,-1223.658827771504
1,batch10,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-03-01,18,strong_hold_t3,4,0.7,0.9998,-0.001,0.0255,0.412,0.287,12,0.06,772.8526739842149,28.793321503487356,63,-746.7459064342678
1,batch10,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-04-01,14,strong_hold_t3,2,0.7,0.999,-0.0005,0.0255,0.406,0.287,12,0.065,1181.3297223030092,21.018873096243667,56,594.6649507537692
1,batch10,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-05-01,17,t2_close,2,0.62,1.0,-0.0005,0.0255,0.412,0.275,10,0.065,811.49482677528,44.85533765308594,55,-2635.5456915950326
1,batch10,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-03-01,17,t2_close,3,0.64,1.0,-0.001,0.0255,0.406,0.287,12,0.065,1612.7089023684282,17.541082590520894,64,1443.3789915059208
1,batch10,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-04-01,16,loss_rebound_t3,2,0.68,1.0,-0.0005,0.0255,0.406,0.275,10,0.065,275.7359188009051,42.258932554584455,56,-2859.7359877492295
1,batch10,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-03-01,17,loss_rebound_t3,4,0.62,0.9998,-0.0005,0.0255,0.406,0.287,10,0.06,364.47154248501033,44.8949511813344,65,-3087.3225992751177
1,batch10,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-04-01,16,loss_rebound_t3,4,0.66,0.9998,-0.001,0.0255,0.412,0.275,10,0.065,469.79400708259027,46.03930387049501,64,-3119.322457376811
