variant,seed,target_gt,hidden,epochs,alpha,top_k,gap_min,gap_max,threshold,alloc,ret_pct,dd_pct,trades
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.001,0.026,0.65,0.9998,-45.34022489999997,58.94806837110412,51
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.001,0.0265,0.55,0.998,-30.553841350000077,51.80668964210461,52
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.001,0.0265,0.55,0.9998,-31.32384135000007,52.40218284610651,52
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.001,0.0265,0.6,0.998,-30.553841350000077,51.80668964210461,52
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.001,0.0265,0.6,0.9998,-31.32384135000007,52.40218284610651,52
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.001,0.0265,0.65,0.998,-30.553841350000077,51.80668964210461,52
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.001,0.0265,0.65,0.9998,-31.32384135000007,52.40218284610651,52
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0005,0.025,0.55,0.998,-33.914979399999936,54.710790143225374,49
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0005,0.025,0.55,0.9998,-34.45497939999994,54.710790143225374,49
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0005,0.025,0.6,0.998,-33.914979399999936,54.710790143225374,49
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0005,0.025,0.6,0.9998,-34.45497939999994,54.710790143225374,49
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0005,0.025,0.65,0.998,-33.914979399999936,54.710790143225374,49
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0005,0.025,0.65,0.9998,-34.45497939999994,54.710790143225374,49
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0005,0.0255,0.55,0.998,-33.914979399999936,54.710790143225374,49
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0005,0.0255,0.55,0.9998,-34.45497939999994,54.710790143225374,49
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0005,0.0255,0.6,0.998,-33.914979399999936,54.710790143225374,49
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0005,0.0255,0.6,0.9998,-34.45497939999994,54.710790143225374,49
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0005,0.0255,0.65,0.998,-33.914979399999936,54.710790143225374,49
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0005,0.0255,0.65,0.9998,-34.45497939999994,54.710790143225374,49
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0005,0.026,0.55,0.998,-38.323552119999945,54.710790143225374,50
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0005,0.026,0.55,0.9998,-38.323552119999945,54.710790143225374,50
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0005,0.026,0.6,0.998,-38.323552119999945,54.710790143225374,50
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0005,0.026,0.6,0.9998,-38.323552119999945,54.710790143225374,50
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0005,0.026,0.65,0.998,-38.323552119999945,54.710790143225374,50
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0005,0.026,0.65,0.9998,-38.323552119999945,54.710790143225374,50
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0005,0.0265,0.55,0.998,-28.771745090000046,52.32984099308211,51
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0005,0.0265,0.55,0.9998,-29.977568690000044,53.226617400287026,51
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0005,0.0265,0.6,0.998,-28.771745090000046,52.32984099308211,51
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0005,0.0265,0.6,0.9998,-29.977568690000044,53.226617400287026,51
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0005,0.0265,0.65,0.998,-28.771745090000046,52.32984099308211,51
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0005,0.0265,0.65,0.9998,-29.977568690000044,53.226617400287026,51
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.0015,0.025,0.55,0.998,36.89641114999998,35.013194857798844,61
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.0015,0.025,0.55,0.9998,36.89641114999998,35.013194857798844,61
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.0015,0.025,0.6,0.998,36.89641114999998,35.013194857798844,61
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.0015,0.025,0.6,0.9998,36.89641114999998,35.013194857798844,61
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.0015,0.025,0.65,0.998,36.89641114999998,35.013194857798844,61
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.0015,0.025,0.65,0.9998,36.89641114999998,35.013194857798844,61
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.0015,0.0255,0.55,0.998,36.89641114999998,35.013194857798844,61
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.0015,0.0255,0.55,0.9998,36.89641114999998,35.013194857798844,61
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.0015,0.0255,0.6,0.998,36.89641114999998,35.013194857798844,61
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.0015,0.0255,0.6,0.9998,36.89641114999998,35.013194857798844,61
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.0015,0.0255,0.65,0.998,36.89641114999998,35.013194857798844,61
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.0015,0.0255,0.65,0.9998,36.89641114999998,35.013194857798844,61
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.0015,0.026,0.55,0.998,-2.161804750000007,35.013194857798844,60
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.0015,0.026,0.55,0.9998,-2.161804750000007,35.013194857798844,60
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.0015,0.026,0.6,0.998,-2.161804750000007,35.013194857798844,60
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.0015,0.026,0.6,0.9998,-2.161804750000007,35.013194857798844,60
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.0015,0.026,0.65,0.998,-2.161804750000007,35.013194857798844,60
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.0015,0.026,0.65,0.9998,-2.161804750000007,35.013194857798844,60
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.0015,0.0265,0.55,0.998,45.865288979999974,37.08200046870668,62
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.0015,0.0265,0.55,0.9998,47.79528897999996,37.08200046870668,62
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.0015,0.0265,0.6,0.998,45.865288979999974,37.08200046870668,62
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.0015,0.0265,0.6,0.9998,47.79528897999996,37.08200046870668,62
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.0015,0.0265,0.65,0.998,45.865288979999974,37.08200046870668,62
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.0015,0.0265,0.65,0.9998,47.79528897999996,37.08200046870668,62
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.001,0.025,0.55,0.998,52.406411149999975,35.013194857798844,61
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.001,0.025,0.55,0.9998,52.406411149999975,35.013194857798844,61
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.001,0.025,0.6,0.998,52.406411149999975,35.013194857798844,61
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.001,0.025,0.6,0.9998,52.406411149999975,35.013194857798844,61
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.001,0.025,0.65,0.998,52.406411149999975,35.013194857798844,61
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.001,0.025,0.65,0.9998,52.406411149999975,35.013194857798844,61
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.001,0.0255,0.55,0.998,52.406411149999975,35.013194857798844,61
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.001,0.0255,0.55,0.9998,52.406411149999975,35.013194857798844,61
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.001,0.0255,0.6,0.998,52.406411149999975,35.013194857798844,61
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.001,0.0255,0.6,0.9998,52.406411149999975,35.013194857798844,61
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.001,0.0255,0.65,0.998,52.406411149999975,35.013194857798844,61
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.001,0.0255,0.65,0.9998,52.406411149999975,35.013194857798844,61
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.001,0.026,0.55,0.998,8.928195249999993,35.013194857798844,60
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.001,0.026,0.55,0.9998,8.928195249999993,35.013194857798844,60
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.001,0.026,0.6,0.998,8.928195249999993,35.013194857798844,60
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.001,0.026,0.6,0.9998,8.928195249999993,35.013194857798844,60
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.001,0.026,0.65,0.998,8.928195249999993,35.013194857798844,60
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.001,0.026,0.65,0.9998,8.928195249999993,35.013194857798844,60
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.001,0.0265,0.55,0.998,61.29528897999998,37.08200046870668,62
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.001,0.0265,0.55,0.9998,63.225288979999995,37.08200046870668,62
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.001,0.0265,0.6,0.998,61.29528897999998,37.08200046870668,62
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.001,0.0265,0.6,0.9998,63.225288979999995,37.08200046870668,62
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.001,0.0265,0.65,0.998,61.29528897999998,37.08200046870668,62
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.001,0.0265,0.65,0.9998,63.225288979999995,37.08200046870668,62
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.0005,0.025,0.55,0.998,52.406411149999975,35.013194857798844,61
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.0005,0.025,0.55,0.9998,52.406411149999975,35.013194857798844,61
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.0005,0.025,0.6,0.998,52.406411149999975,35.013194857798844,61
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.0005,0.025,0.6,0.9998,52.406411149999975,35.013194857798844,61
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.0005,0.025,0.65,0.998,52.406411149999975,35.013194857798844,61
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.0005,0.025,0.65,0.9998,52.406411149999975,35.013194857798844,61
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.0005,0.0255,0.55,0.998,52.406411149999975,35.013194857798844,61
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.0005,0.0255,0.55,0.9998,52.406411149999975,35.013194857798844,61
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.0005,0.0255,0.6,0.998,52.406411149999975,35.013194857798844,61
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.0005,0.0255,0.6,0.9998,52.406411149999975,35.013194857798844,61
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.0005,0.0255,0.65,0.998,52.406411149999975,35.013194857798844,61
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.0005,0.0255,0.65,0.9998,52.406411149999975,35.013194857798844,61
