threshold,alloc,ret_pct,dd_pct,trades
0.59,0.976,1172.163264688043,16.32484717040066,76
0.59,0.97605,1172.163264688043,16.32484717040066,76
0.59,0.9761,1172.163264688043,16.32484717040066,76
0.59,0.97615,1173.005247188043,16.32484717040066,76
0.59,0.9762,1173.005247188043,16.32484717040066,76
0.59,0.97625,1173.005247188043,16.32484717040066,76
0.59,0.9763,1174.396542985738,16.280169773154892,76
0.59,0.97635,1174.396542985738,16.280169773154892,76
0.59,0.9764,1174.396542985738,16.280169773154892,76
0.59,0.97645,1215.9010685560747,16.087074077311314,76
0.59,0.9765,1215.9010685560747,16.087074077311314,76
0.59,0.97655,1215.9010685560747,16.087074077311314,76
0.59,0.9766,1215.9010685560747,16.087074077311314,76
0.59,0.97665,1215.9010685560747,16.087074077311314,76
0.59,0.9767,1215.9010685560747,16.087074077311314,76
0.59,0.97675,1215.9010685560747,16.087074077311314,76
0.59,0.9768,1215.9010685560747,16.087074077311314,76
0.59,0.97685,1172.784709748043,16.34331474115987,76
0.59,0.9769,1172.784709748043,16.34331474115987,76
0.59,0.97695,1172.784709748043,16.34331474115987,76
0.59,0.977,1172.784709748043,16.34331474115987,76
0.59,0.97705,1172.784709748043,16.34331474115987,76
0.59,0.9771,1172.784709748043,16.34331474115987,76
0.59,0.97715,1172.784709748043,16.34331474115987,76
0.59,0.9772,1172.784709748043,16.34331474115987,76
0.59,0.97725,1172.784709748043,16.34331474115987,76
0.59,0.9773,1172.784709748043,16.34331474115987,76
0.59,0.97735,1172.784709748043,16.34331474115987,76
0.59,0.9774,1172.784709748043,16.34331474115987,76
0.59,0.97745,1172.787170642793,16.34331474115987,76
0.59,0.9775,1172.787170642793,16.34331474115987,76
0.59,0.97755,1172.787170642793,16.34331474115987,76
0.59,0.9776,1172.787170642793,16.34331474115987,76
0.59,0.97765,1173.3504205457373,16.29853634228249,76
0.59,0.9777,1173.136068045738,16.29853634228249,76
0.59,0.97775,1173.2348880457378,16.29853634228249,76
0.59,0.9778,1173.2348880457378,16.29853634228249,76
0.59,0.97785,1173.2348880457378,16.29853634228249,76
