stage,hidden,epochs,lr,weight_decay,target_gt,seed,tag,alpha,threshold,alloc,gap_min,gap_max,max_broken_rate,min_red_rate,max_limit_down,max_pullback,ret_pct,dd_pct,trades,obj
stage1,88,520,0.0205,0.0002,0.01,442,seed_near_e520,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,-29.04171516000005,50.71908568869842,56,-4179.73199780381
stage1,88,520,0.0205,0.0002,0.01,442,seed_near_e520,15,0.6,0.998,-0.001,0.0255,0.412,0.287,10,0.065,-34.28931995,50.06831638206556,56,-4106.887285797868
stage1,88,500,0.021,0.0002,0.01,443,seed_near,15,0.6,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,256.11477219,33.42701721571109,61,-1819.5272936953309
stage1,88,500,0.021,0.0002,0.01,443,seed_near,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,256.11477219,33.42701721571109,61,-1819.5272936953309
stage1,88,500,0.021,0.0002,0.01,443,seed_near,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,300.87886219000006,33.42701721571109,62,-1774.7632036953307
stage1,88,500,0.021,0.0002,0.01,443,seed_near,15,0.6,0.998,-0.001,0.0255,0.412,0.287,10,0.065,255.14643968999997,33.42701721571109,61,-1820.4956261953307
stage1,88,500,0.021,0.0002,0.01,444,seed_near,15,0.6,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,-22.300466480000004,63.325638320622076,58,-5685.77706495465
stage1,88,500,0.021,0.0002,0.01,444,seed_near,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,-22.300466480000004,63.325638320622076,58,-5685.77706495465
stage1,88,500,0.021,0.0002,0.01,444,seed_near,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,-19.223458359999956,54.708024848493,60,-4648.5864401791605
stage1,88,500,0.021,0.0002,0.01,444,seed_near,15,0.6,0.998,-0.001,0.0255,0.412,0.287,10,0.065,-22.300466480000004,63.325638320622076,58,-5685.77706495465
stage1,88,500,0.021,0.0002,0.01,445,seed_near,15,0.6,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,-59.94131166999992,69.67436248777575,57,-6485.264810203091
stage1,88,500,0.021,0.0002,0.01,445,seed_near,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,-59.94131166999992,69.67436248777575,57,-6485.264810203091
stage1,88,500,0.021,0.0002,0.01,445,seed_near,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,-54.70371716999997,71.70502450505597,60,-6723.706657776717
stage1,88,500,0.021,0.0002,0.01,445,seed_near,15,0.6,0.998,-0.001,0.0255,0.412,0.287,10,0.065,-58.53131166999992,68.60694988205111,57,-6355.765297516134
stage1,88,500,0.021,0.0002,0.01,446,seed_near,15,0.6,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,168.3729391199999,42.31929964312363,64,-2974.3430180548357
stage1,88,500,0.021,0.0002,0.01,446,seed_near,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,168.3729391199999,42.31929964312363,64,-2974.3430180548357
stage1,88,500,0.021,0.0002,0.01,446,seed_near,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,105.0089118299999,42.489599282081706,63,-3058.143002019805
stage1,88,500,0.021,0.0002,0.01,446,seed_near,15,0.6,0.998,-0.001,0.0255,0.412,0.287,10,0.065,169.4255566199999,42.31929964312363,64,-2973.2904005548357
stage1,80,500,0.0222,0.000219,0.01,431,random_local,15,0.6,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,31.22491949999997,54.57236017620488,59,-4581.858301644586
stage1,80,500,0.0222,0.000219,0.01,431,random_local,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,31.22491949999997,54.57236017620488,59,-4581.858301644586
stage1,80,500,0.0222,0.000219,0.01,431,random_local,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,67.92653921999998,50.75915225797747,59,-4087.571731737296
stage1,80,500,0.0222,0.000219,0.01,431,random_local,15,0.6,0.998,-0.001,0.0255,0.412,0.287,10,0.065,33.87491949999999,53.72840024134916,59,-4477.9331094619
stage1,96,560,0.02,0.00026,0.011,433,random_local,15,0.6,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,-71.44611796000001,76.19611796000001,59,-7279.380273160002
stage1,96,560,0.02,0.00026,0.011,433,random_local,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,-71.44611796000001,76.19611796000001,59,-7279.380273160002
stage1,96,560,0.02,0.00026,0.011,433,random_local,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,-68.647815,75.6914178036965,59,-7216.01795144358
stage1,96,560,0.02,0.00026,0.011,433,random_local,15,0.6,0.998,-0.001,0.0255,0.412,0.287,10,0.065,-71.44611796000001,76.19611796000001,59,-7279.380273160002
stage1,88,460,0.02,0.000203,0.011,433,random_local,15,0.6,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,-27.100609940000066,54.59355991,62,-4642.727799140001
stage1,88,460,0.02,0.000203,0.011,433,random_local,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,-27.100609940000066,54.59355991,62,-4642.727799140001
stage1,88,460,0.02,0.000203,0.011,433,random_local,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,-27.100609940000066,54.59355991,62,-4642.727799140001
