操作日期,操作时间,股票代码,股票名称,操作（买or卖）,操作价格,操作原因,总资产
2025-04-22,15:00:00,002809,红墙股份,sell,11.323,T+2收盘回撤18.02%>-5%，T+2收盘卖出 (no intraday-high optimization).,33389.53
2025-04-25,09:30:00,002251,步步高,buy,6.730,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",33381.29
2025-04-28,15:00:00,002251,步步高,sell,6.750,T+2收盘回撤0.30%>-5%，T+2收盘卖出 (no intraday-high optimization).,33471.02
2025-05-07,09:30:00,000632,三木集团,buy,3.580,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",33462.69
2025-05-08,15:00:00,000632,三木集团,sell,3.630,T+2收盘回撤1.40%>-5%，T+2收盘卖出 (no intraday-high optimization).,33919.25
2025-05-13,09:30:00,688648,中邮科技,buy,32.990,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",33911.01
2025-05-14,15:00:00,688648,中邮科技,sell,33.880,T+2收盘回撤2.70%>-5%，T+2收盘卖出 (no intraday-high optimization).,34792.54
2025-05-19,09:30:00,603109,神驰机电,buy,27.729,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",34784.22
2025-05-20,15:00:00,603109,神驰机电,sell,28.747,T+2收盘回撤3.67%>-5%，T+2收盘卖出 (no intraday-high optimization).,35997.43
2025-05-22,09:30:00,605136,丽人丽妆,buy,12.660,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",35988.57
2025-05-23,15:00:00,605136,丽人丽妆,sell,14.510,T+2收盘回撤14.61%>-5%，T+2收盘卖出 (no intraday-high optimization).,41158.41
2025-05-27,09:30:00,301536,星宸科技,buy,63.970,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",41148.82
2025-05-28,15:00:00,301536,星宸科技,sell,61.720,T+2收盘回撤-3.52%>-5%，T+2收盘卖出 (no intraday-high optimization).,39789.56
2025-06-04,09:30:00,001268,联合精密,buy,24.140,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",39779.90
2025-06-05,15:00:00,001268,联合精密,sell,23.880,T+2收盘回撤-1.08%>-5%，T+2收盘卖出 (no intraday-high optimization).,39354.35
2025-06-09,09:30:00,603226,菲林格尔,buy,11.100,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",39344.64
2025-06-10,15:00:00,603226,菲林格尔,sell,12.020,T+2收盘回撤8.29%>-5%，T+2收盘卖出 (no intraday-high optimization).,42554.12
2025-06-13,09:30:00,002365,永安药业,buy,23.339,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",42543.62
2025-06-16,15:00:00,002365,永安药业,sell,26.956,T+2收盘回撤15.50%>-5%，T+2收盘卖出 (no intraday-high optimization).,49042.80
2025-06-18,09:30:00,300457,赢合科技,buy,20.382,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",49030.57
2025-06-19,15:00:00,300457,赢合科技,sell,20.978,T+2收盘回撤2.93%>-5%，T+2收盘卖出 (no intraday-high optimization).,50449.67
2025-06-24,09:30:00,600201,生物股份,buy,7.980,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",50437.10
2025-06-25,15:00:00,600201,生物股份,sell,8.050,T+2收盘回撤0.87%>-5%，T+2收盘卖出 (no intraday-high optimization).,50863.78
