日期,股票,代码,操作,操作价格,资产总值
2025-11-12,方正电机,002196,sell,16.920,120850.97
2025-11-14,海博思创,688411,buy,364.900,120823.60
2025-11-17,海博思创,688411,sell,361.230,119695.51
2025-11-26,特发信息,000070,buy,13.650,119665.82
2025-11-27,特发信息,000070,sell,14.440,126507.42
2025-12-01,永信至诚,688244,buy,23.030,126476.33
2025-12-02,永信至诚,688244,sell,23.640,129738.41
2025-12-04,安记食品,603696,buy,17.000,129706.11
2025-12-08,安记食品,603696,sell,21.420,163257.41
2025-12-10,厦门港务,000905,buy,15.960,163216.71
2025-12-11,厦门港务,000905,sell,15.200,155425.96
2025-12-15,北投科技,600936,buy,4.180,155387.19
2025-12-16,北投科技,600936,sell,4.070,151268.44
2025-12-19,皮阿诺,002853,buy,21.930,151231.16
2025-12-23,皮阿诺,002853,sell,22.800,157108.40
2025-12-25,鲁信创投,600783,buy,19.170,157069.58
2025-12-29,鲁信创投,600783,sell,23.210,189746.58
2025-12-31,步科股份,688160,buy,149.930,189701.60
2026-01-05,步科股份,688160,sell,147.000,186141.50
2026-01-07,志特新材,300986,buy,17.440,186095.28
2026-01-09,志特新材,300986,sell,27.820,296049.56
2026-01-13,金现代,300830,buy,14.500,295975.61
2026-01-14,金现代,300830,sell,14.000,285704.21
2026-01-21,广电电气,601616,buy,5.680,285632.93
2026-01-22,广电电气,601616,sell,5.820,292587.88
2026-01-26,巨力索具,002342,buy,14.520,292514.92
2026-01-27,巨力索具,002342,sell,13.210,266117.54
2026-01-29,通源石油,300164,buy,12.140,266051.07
2026-02-02,通源石油,300164,sell,11.050,242119.58
2026-02-04,泽润新能,301636,buy,78.790,242060.49
2026-02-06,泽润新能,301636,sell,103.890,317282.57
2026-02-10,京投发展,600683,buy,6.400,317203.37
2026-02-12,京投发展,600683,sell,6.930,343352.61
