stock_code,name,close,support_level,resistance_level,total_score,status_tags
300368,汇金股份,15.49,15.468416666666666,16.1,47.0,"[""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]"
002988,豪美新材,39.73,39.43375,40.88,47.0,"[""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]"
601798,蓝科高新,9.29,8.98225,9.88475,47.0,"[""PULLBACK""]"
603032,德新科技,19.49,19.04,19.598,47.0,"[""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]"
603060,国检集团,6.3,6.1325,6.4,47.0,"[""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]"
603072,天和磁材,43.12,40.58,43.78,47.0,"[""PULLBACK"", ""NEAR_RESISTANCE""]"
603222,济民健康,9.76,9.55,9.86,47.0,"[""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]"
603439,三力制药,12.0,11.876249999999999,12.845749999999999,47.0,"[""PULLBACK"", ""AT_SUPPORT""]"
603618,杭电股份,8.37,8.36225,8.56,47.0,"[""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]"
603980,吉华集团,5.27,5.109999999999999,5.662,47.0,"[""PULLBACK""]"
605277,新亚电子,22.9,22.79625,23.15,47.0,"[""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]"
605337,李子园,12.02,11.88,12.75925,47.0,"[""PULLBACK"", ""AT_SUPPORT""]"
688035,德邦科技,50.32,49.73025,50.695,47.0,"[""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]"
688051,佳华科技,41.28,40.295833333333334,42.65,47.0,"[""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]"
