strategy,signal_date,buy_date,sell_date,stock_code,stock_name,pick_rank,score,raw_prob,board_count,buy_price,sell_price,buy_fee,sell_fee,pnl,pnl_pct,equity_after,sell_logic
score_rawprob,2020-02-10,2020-02-11,2020-02-12,002505,鹏都农牧,1,1.0,0.5611445933496886,1,1.8,1.71,5.0,5.0,-505.0,-0.05098435133770823,9495.0,T+2收盘上涨-5.00%未触发延长，T+2收盘卖出
score_rawprob,2020-02-17,2020-02-18,2020-02-19,002013,中航机电,1,0.9999999999617141,0.49036957325014086,1,7.68044,7.709792,5.0,5.0,25.22240000000056,0.002735164931451768,9520.2224,T+2收盘上涨0.38%未触发延长，T+2收盘卖出
score_rawprob,2020-02-26,2020-02-27,2020-02-28,002505,鹏都农牧,1,0.9999962645745477,0.4375563646287176,1,1.9,1.84,5.0,5.0,-310.0,-0.03261441346659653,9210.2224,T+2收盘上涨-3.16%未触发延长，T+2收盘卖出
score_rawprob,2020-03-05,2020-03-06,2020-03-09,002505,鹏都农牧,1,1.0,0.5539489965676502,1,2.07,2.12,5.0,5.0,210.0,0.023044003072533743,9420.2224,T+2收盘上涨2.42%未触发延长，T+2收盘卖出
score_rawprob,2020-03-24,2020-03-25,2020-03-26,600297,广汇汽车,1,1.0,0.6475672302402332,1,4.25,4.13,5.0,5.0,-274.0,-0.02928915018706574,9146.2224,T+2收盘上涨-2.82%未触发延长，T+2收盘卖出
score_rawprob,2020-04-07,2020-04-08,2020-04-09,002505,鹏都农牧,1,0.9999999999995459,0.5079480955312456,1,2.37,2.39,5.0,5.0,66.0,0.0073243813117301075,9212.2224,T+2收盘上涨0.84%未触发延长，T+2收盘卖出
score_rawprob,2020-04-23,2020-04-24,2020-04-27,002505,鹏都农牧,1,0.9999999999651024,0.4907829571639907,1,2.45,2.46,5.0,5.0,27.0,0.0029768467475192943,9239.2224,T+2收盘上涨0.41%未触发延长，T+2收盘卖出
score_rawprob,2020-04-28,2020-04-29,2020-04-30,002505,鹏都农牧,1,0.2264320063981119,0.26053931094367766,1,2.71,2.52,5.0,5.0,-656.0,-0.07115739234190259,8583.2224,T+2收盘上涨-7.01%未触发延长，T+2收盘卖出
score_rawprob,2020-05-06,2020-05-07,2020-05-08,002505,鹏都农牧,1,0.9970958719780446,0.38575401637387696,1,2.81,2.8,5.0,5.0,-40.0,-0.004742145820983995,8543.2224,T+2收盘上涨-0.36%未触发延长，T+2收盘卖出
score_rawprob,2020-06-03,2020-06-04,2020-06-05,600321,正源股份,1,0.9999999999999999,0.5486459248137143,1,2.11970997,2.12966166,5.0,5.0,29.806759999999485,0.003513357208717084,8573.02916,T+2收盘上涨0.47%未触发延长，T+2收盘卖出
score_rawprob,2020-06-10,2020-06-11,2020-06-15,600723,首商股份,1,0.9998513112959695,0.41097032377885856,1,6.9918173,8.23261868,5.0,5.0,1478.9616560000013,0.17616793470924638,10051.990816000001,T+2收盘上涨7.04%>=6%，延长到T+3收盘卖出
score_rawprob,2020-06-30,2020-07-01,2020-07-02,600723,首商股份,1,0.9999999999866391,0.4938672031721396,1,8.29170446,8.31139972,5.0,5.0,13.634312000001955,0.001369588135252722,10065.625128000003,T+2收盘上涨0.24%未触发延长，T+2收盘卖出
score_rawprob,2020-07-06,2020-07-07,2020-07-09,002013,中航机电,1,0.9999994459557521,0.44882158257697585,1,9.00128,10.429744,5.0,5.0,1561.3104000000003,0.15760610707735845,11626.935528000004,T+2收盘上涨10.33%>=6%，延长到T+3收盘卖出
score_rawprob,2020-07-13,2020-07-14,2020-07-15,600723,首商股份,1,0.9999999918780338,0.47006224950804937,3,12.57542351,12.9003953,5.0,5.0,282.47461099999964,0.024947237989464764,11909.410139000003,T+2收盘上涨2.58%未触发延长，T+2收盘卖出
score_rawprob,2020-08-03,2020-08-04,2020-08-05,600297,广汇汽车,1,0.9999999999677172,0.49102189353745485,1,4.42,4.34,5.0,5.0,-218.0,-0.018961468209098026,11691.410139000003,T+2收盘上涨-1.81%未触发延长，T+2收盘卖出
