操作日期,操作时间,股票代码,股票名称,操作（买or卖）,操作价格,操作原因,总资产
2025-12-25,09:30:00,000036,华联控股,buy,6.880,"model=i0001c04, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",19028.04
2025-12-26,15:00:00,000036,华联控股,sell,7.810,T+2收盘回撤13.52%未触发延长，T+2收盘卖出 (no intraday-high optimization).,21069.04
2025-12-30,09:30:00,000048,京基智农,buy,16.560,"model=i0001c04, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",21064.04
2025-12-31,15:00:00,000048,京基智农,sell,17.600,T+2收盘回撤6.28%未触发延长，T+2收盘卖出 (no intraday-high optimization).,22099.04
2026-01-07,09:30:00,000510,新金路,buy,13.240,"model=i0001c04, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",22094.04
2026-01-09,15:00:00,000510,新金路,sell,13.420,T+2收盘回撤-4.00%<=-3%，延长到T+3收盘卖出 (no intraday-high optimization).,22323.04
2026-01-13,09:30:00,000066,中国长城,buy,16.990,"model=i0001c04, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",22318.04
2026-01-14,15:00:00,000066,中国长城,sell,16.740,T+2收盘回撤-1.47%未触发延长，T+2收盘卖出 (no intraday-high optimization).,22063.04
2026-01-22,09:30:00,000036,华联控股,buy,6.300,"model=i0001c04, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",22058.04
2026-01-23,15:00:00,000036,华联控股,sell,6.990,T+2收盘回撤10.95%未触发延长，T+2收盘卖出 (no intraday-high optimization).,23985.04
2026-01-28,09:30:00,000592,平潭发展,buy,10.690,"model=i0001c04, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",23980.04
2026-01-29,15:00:00,000592,平潭发展,sell,10.570,T+2收盘回撤-1.12%未触发延长，T+2收盘卖出 (no intraday-high optimization).,23771.04
2026-02-04,09:30:00,000039,中集集团,buy,10.550,"model=i0001c04, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",23766.04
2026-02-05,15:00:00,000039,中集集团,sell,11.290,T+2收盘回撤7.01%未触发延长，T+2收盘卖出 (no intraday-high optimization).,25092.96
2026-02-09,09:30:00,000056,皇庭国际,buy,2.310,"model=i0001c04, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",25087.96
2026-02-10,15:00:00,000056,皇庭国际,sell,2.410,T+2收盘回撤4.33%未触发延长，T+2收盘卖出 (no intraday-high optimization).,25942.78
2026-02-12,09:30:00,000659,珠海中富,buy,4.820,"model=i0001c04, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",25937.60
2026-02-13,15:00:00,000659,珠海中富,sell,4.660,T+2收盘回撤-3.32%未触发延长，T+2收盘卖出 (no intraday-high optimization).,25244.59
