操作日期,操作时间,股票代码,股票名称,操作（买or卖）,操作价格,操作原因,总资产
2025-05-26,09:30:00,002471,中超控股,buy,4.990,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",9782.19
2025-05-27,15:00:00,002471,中超控股,sell,5.700,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,9990.19
2025-06-16,09:30:00,300164,通源石油,buy,5.430,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",9985.19
2025-06-17,15:00:00,300164,通源石油,sell,7.040,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,10463.19
2025-06-20,09:30:00,603982,泉峰汽车,buy,10.800,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",10458.19
2025-06-23,15:00:00,603982,泉峰汽车,sell,10.260,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,10399.19
2025-06-25,09:30:00,002537,海联金汇,buy,10.600,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",10394.19
2025-06-26,15:00:00,002537,海联金汇,sell,11.080,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,10437.19
2025-07-01,09:30:00,002015,协鑫能科,buy,14.884,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",10432.19
2025-07-02,15:00:00,002015,协鑫能科,sell,12.741,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,10212.85
2025-07-08,09:30:00,002201,九鼎新材,buy,8.253,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",10207.85
2025-07-09,15:00:00,002201,九鼎新材,sell,9.462,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,10444.65
2025-07-15,09:30:00,600822,上海物贸,buy,12.090,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",10439.65
2025-07-16,15:00:00,600822,上海物贸,sell,14.630,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,10688.65
2025-07-18,09:30:00,601003,柳钢股份,buy,5.690,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",10683.65
2025-07-21,15:00:00,601003,柳钢股份,sell,6.740,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,10993.65
