signal_date,watch_date,stock_code,stock_name,model_score,rank_no,planned_status,decision,decision_reason,entry_price_proxy,data_mode,proxy_high_ret_from_open,proxy_low_drawdown_from_open,proxy_close_ret_from_open
2025-01-03,2025-01-06,600071,凤凰光学,0.9971228470581919,1,drop,drop_before_intraday,auction_gap_lt_-1pct,,daily_proxy,,,
2025-01-08,2025-01-09,600078,澄星股份,0.9931319756337593,1,drop,drop_before_intraday,auction_gap_lt_-1pct;liquidity_lt_150m,,daily_proxy,,,
2025-02-11,2025-02-12,600081,东风科技,0.9999999995900549,1,drop,drop_before_intraday,red_rate_lt_0.28;auction_gap_lt_-1pct;liquidity_lt_150m,,daily_proxy,,,
2025-02-18,2025-02-19,600058,五矿发展,0.8933225129569244,1,drop,drop_before_intraday,auction_gap_lt_-1pct;liquidity_lt_150m,,daily_proxy,,,
2025-02-27,2025-02-28,600076,康欣新材,0.9999999999999943,1,drop,drop_before_intraday,auction_gap_gt_4pct;limit_up_open_unfilled;liquidity_lt_150m,,daily_proxy,,,
2025-02-27,2025-02-28,600094,大名城,0.9999999999995003,2,drop,drop_before_intraday,liquidity_lt_150m,,daily_proxy,,,
2025-03-20,2025-03-21,600063,皖维高新,0.8342355236207811,1,drop,drop_before_intraday,broken_rate_gt_0.40;auction_gap_lt_-1pct,,daily_proxy,,,
2025-04-08,2025-04-09,600094,大名城,0.9997763211880931,1,drop,drop_before_intraday,liquidity_lt_150m,,daily_proxy,,,
2025-04-09,2025-04-10,600094,大名城,1.0,1,drop,drop_before_intraday,broken_rate_gt_0.40;auction_gap_lt_-1pct;liquidity_lt_150m,,daily_proxy,,,
2025-05-29,2025-05-30,600006,东风股份,0.7261641887114854,1,drop,drop_before_intraday,auction_gap_lt_-1pct,,daily_proxy,,,
2025-06-18,2025-06-19,600110,诺德股份,0.9983159231107774,1,drop,drop_before_intraday,auction_gap_gt_4pct,,daily_proxy,,,
2025-06-19,2025-06-20,600110,诺德股份,0.9929970334683907,1,drop,drop_before_intraday,auction_gap_gt_4pct,,daily_proxy,,,
2025-06-23,2025-06-24,600110,诺德股份,0.9999995556019611,1,drop,drop_before_intraday,max_board_gt_3;auction_gap_lt_-1pct,,daily_proxy,,,
2025-06-24,2025-06-25,600110,诺德股份,0.999492563469204,1,drop,drop_before_intraday,max_board_gt_3,,daily_proxy,,,
2025-06-24,2025-06-25,600095,湘财股份,0.9981232880308416,2,drop,drop_before_intraday,max_board_gt_3,,daily_proxy,,,
2025-06-25,2025-06-26,600095,湘财股份,0.9999999999999931,1,drop,drop_before_intraday,max_board_gt_3;auction_gap_gt_4pct,,daily_proxy,,,
2025-06-25,2025-06-26,600110,诺德股份,0.999999833009083,2,drop,drop_before_intraday,max_board_gt_3,,daily_proxy,,,
2025-07-11,2025-07-14,600010,包钢股份,1.0,1,drop,drop_before_intraday,auction_gap_gt_4pct,,daily_proxy,,,
2025-07-22,2025-07-23,600089,特变电工,0.9999996610781172,1,drop,drop_before_intraday,broken_rate_gt_0.40,,daily_proxy,,,
2025-07-30,2025-07-31,600010,包钢股份,0.9999999999999998,1,drop,drop_before_intraday,broken_rate_gt_0.40;auction_gap_lt_-1pct,,daily_proxy,,,
2025-07-31,2025-08-01,600110,诺德股份,0.9131349785218589,1,drop,drop_before_intraday,red_rate_lt_0.28,,daily_proxy,,,
2025-08-15,2025-08-18,600076,康欣新材,1.0,1,drop,drop_before_intraday,auction_gap_gt_4pct;liquidity_lt_150m,,daily_proxy,,,
2025-08-18,2025-08-19,600110,诺德股份,0.9999842903125188,2,drop,drop_before_intraday,auction_gap_gt_4pct,,daily_proxy,,,
2025-08-19,2025-08-20,600076,康欣新材,0.999951837262482,1,drop,drop_before_intraday,liquidity_lt_150m,,daily_proxy,,,
2025-08-20,2025-08-21,600104,上汽集团,0.9937506645032536,1,drop,drop_before_intraday,red_rate_lt_0.28,,daily_proxy,,,
2025-08-25,2025-08-26,600010,包钢股份,1.0,1,drop,drop_before_intraday,broken_rate_gt_0.40,,daily_proxy,,,
2025-09-05,2025-09-08,600103,青山纸业,0.7989547096729481,1,drop,drop_before_intraday,auction_gap_gt_4pct;limit_up_open_unfilled,,daily_proxy,,,
2025-09-08,2025-09-09,600026,中远海能,0.8366121893115653,1,drop,drop_before_intraday,broken_rate_gt_0.40;auction_gap_lt_-1pct,,daily_proxy,,,
2025-09-09,2025-09-10,600103,青山纸业,0.9717099500631003,1,drop,drop_before_intraday,broken_rate_gt_0.40;red_rate_lt_0.28;auction_gap_gt_4pct,,daily_proxy,,,
2025-09-10,2025-09-11,600103,青山纸业,1.0,1,drop,drop_before_intraday,auction_gap_gt_4pct;limit_up_open_unfilled,,daily_proxy,,,
2025-09-11,2025-09-12,600103,青山纸业,1.0,2,drop,drop_before_intraday,auction_gap_gt_4pct;limit_up_open_unfilled,,daily_proxy,,,
