model,rule,trades,wins,losses,win_rate_pct,total_pnl,avg_pnl_pct,max_single_win_pct,max_single_loss_pct,max_consecutive_losses
laowang,laowang_style,2,2,0,100.0,6006.267529500023,2.972282177364101,4.047826117691413,1.8967382370367893,0
laowang,ma5_break,4,2,2,50.0,8904.143487030073,2.192484921844574,4.7332531672150715,-0.20182158935525912,1
relay,ma5_break,20,10,10,50.0,16983.423751637252,1.9716296986860726,59.7278733340853,-15.461894878127733,4
relay,relay_hybrid_v1_proxy_daily,18,9,9,50.0,543.8648062938622,0.6220484961330518,12.93986619108625,-7.459019363700124,6
relay,relay_style,27,13,14,48.148148148148145,10684.423668231495,0.6535878366194675,18.84363230580592,-14.921715292684459,4
stwg,ma5_break,7,4,3,57.14285714285714,3833.505813442229,0.5550710421936939,3.088228248358276,-2.1358948143677696,3
stwg,stwg_style,6,3,3,50.0,3512.6937086326943,0.6429834592651358,6.268797868487569,-3.8520841500957754,2
