操作日期,操作时间,股票代码,股票名称,操作（买or卖）,操作价格,操作原因,总资产
2025-07-14,09:30:00,605259,绿田机械,buy,22.030,"model=mlp_h48_e300_gt0, alpha=5; score>=threshold; gap_filter=[-2.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",9918.19
2025-07-15,15:00:00,605259,绿田机械,sell,26.470,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,11245.19
2025-07-17,09:30:00,603093,南华期货,buy,26.470,"model=mlp_h48_e300_gt0, alpha=5; score>=threshold; gap_filter=[-2.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",11240.19
2025-07-18,15:00:00,603093,南华期货,sell,25.610,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,10977.19
2025-07-23,09:30:00,688585,上纬新材,buy,47.500,"model=mlp_h48_e300_gt0, alpha=5; score>=threshold; gap_filter=[-2.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",10972.19
2025-07-24,15:00:00,688585,上纬新材,sell,56.400,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,11857.19
2025-07-28,09:30:00,600117,西宁特钢,buy,3.870,"model=mlp_h48_e300_gt0, alpha=5; score>=threshold; gap_filter=[-2.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",11852.19
2025-07-29,15:00:00,600117,西宁特钢,sell,3.820,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,11727.19
2025-07-31,09:30:00,600117,西宁特钢,buy,4.270,"model=mlp_h48_e300_gt0, alpha=5; score>=threshold; gap_filter=[-2.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",11722.19
2025-08-01,15:00:00,600117,西宁特钢,sell,4.600,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,12410.19
