plan_threshold_relay,plan_relay_top_k,relay_trigger_ret_pct,relay_max_entry_drawdown_pct,watchlist_rows,watch_intraday,buy_count,trades,return_pct,max_dd_pct,win_rate,avg_hold_days,avg_pnl_pct,max_single_loss_pct,max_consecutive_losses,top_skip_reasons_json,objective
0.7,2,0.01,-0.02,116,48,11,11,0.4006580271617599,0.451572890267861,63.63636363636363,2.272727272727273,0.8863888555454754,-4.272836708330127,3,"{""proxy_entry_drawdown_breached"": 33, ""proxy_open_rebreak_trigger"": 11, ""auction_gap_lt_-1pct"": 9, ""broken_rate_gt_0.40"": 8, ""liquidity_lt_150m"": 6}",-3.844910485322563
0.75,2,0.01,-0.02,113,48,11,11,0.4006580271617599,0.451572890267861,63.63636363636363,2.272727272727273,0.8863888555454754,-4.272836708330127,3,"{""proxy_entry_drawdown_breached"": 33, ""proxy_open_rebreak_trigger"": 11, ""auction_gap_lt_-1pct"": 7, ""broken_rate_gt_0.40"": 7, ""liquidity_lt_150m"": 6}",-3.844910485322563
0.7,1,0.01,-0.02,94,36,8,8,0.1613722817377372,0.45264681573328314,62.5,2.25,0.5557663805909605,-2.430010377233006,2,"{""proxy_entry_drawdown_breached"": 27, ""auction_gap_lt_-1pct"": 9, ""broken_rate_gt_0.40"": 8, ""proxy_open_rebreak_trigger"": 8, ""broken_rate_gt_0.40;auction_gap_lt_-1pct"": 5}",-3.875100536170439
0.75,1,0.01,-0.02,91,36,8,8,0.1613722817377372,0.45264681573328314,62.5,2.25,0.5557663805909605,-2.430010377233006,2,"{""proxy_entry_drawdown_breached"": 27, ""proxy_open_rebreak_trigger"": 8, ""auction_gap_lt_-1pct"": 7, ""broken_rate_gt_0.40"": 7, ""broken_rate_gt_0.40;auction_gap_lt_-1pct"": 5}",-3.875100536170439
0.8,2,0.005,-0.02,106,45,10,10,0.49571603012130705,0.45114767851852133,60.0,2.3,1.2719680784293277,-3.7975090699508907,3,"{""proxy_entry_drawdown_breached"": 32, ""proxy_open_rebreak_trigger"": 10, ""auction_gap_lt_-1pct"": 7, ""liquidity_lt_150m"": 6, ""auction_gap_gt_4pct"": 6}",-3.880382755144198
0.85,2,0.005,-0.02,102,44,10,10,0.49571603012130705,0.45114767851852133,60.0,2.3,1.2719680784293277,-3.7975090699508907,3,"{""proxy_entry_drawdown_breached"": 31, ""proxy_open_rebreak_trigger"": 10, ""auction_gap_lt_-1pct"": 6, ""liquidity_lt_150m"": 6, ""auction_gap_gt_4pct"": 6}",-3.880382755144198
0.8,1,0.005,-0.02,84,33,7,7,0.20680498844929396,0.4524425189756219,57.14285714285714,2.2857142857142856,0.8427061004332203,-1.9453205612099103,2,"{""proxy_entry_drawdown_breached"": 26, ""auction_gap_lt_-1pct"": 7, ""proxy_open_rebreak_trigger"": 7, ""broken_rate_gt_0.40"": 6, ""broken_rate_gt_0.40;auction_gap_lt_-1pct"": 5}",-3.9581889303166164
0.85,1,0.005,-0.02,80,32,7,7,0.20680498844929396,0.4524425189756219,57.14285714285714,2.2857142857142856,0.8427061004332203,-1.9453205612099103,2,"{""proxy_entry_drawdown_breached"": 25, ""proxy_open_rebreak_trigger"": 7, ""auction_gap_lt_-1pct"": 6, ""broken_rate_gt_0.40"": 6, ""liquidity_lt_150m"": 4}",-3.9581889303166164
0.8,2,0.01,-0.02,106,45,10,10,0.32698558421551116,0.45190299224943603,60.0,2.3,0.7713772102565791,-4.272836708330127,3,"{""proxy_entry_drawdown_breached"": 32, ""proxy_open_rebreak_trigger"": 10, ""auction_gap_lt_-1pct"": 7, ""liquidity_lt_150m"": 6, ""auction_gap_gt_4pct"": 6}",-4.1690780812411745
0.85,2,0.01,-0.02,102,44,10,10,0.32698558421551116,0.45190299224943603,60.0,2.3,0.7713772102565791,-4.272836708330127,3,"{""proxy_entry_drawdown_breached"": 31, ""proxy_open_rebreak_trigger"": 10, ""auction_gap_lt_-1pct"": 6, ""liquidity_lt_150m"": 6, ""auction_gap_gt_4pct"": 6}",-4.1690780812411745
0.8,1,0.01,-0.02,84,33,7,7,0.08769983879148846,0.45297849024793657,57.14285714285714,2.2857142857142856,0.34423224804189245,-2.430010377233006,2,"{""proxy_entry_drawdown_breached"": 26, ""auction_gap_lt_-1pct"": 7, ""proxy_open_rebreak_trigger"": 7, ""broken_rate_gt_0.40"": 6, ""broken_rate_gt_0.40;auction_gap_lt_-1pct"": 5}",-4.199270490888668
