trade_date,market_emotion,emotion_score,operation_permission,limit_up_count,limit_down_count,max_consecutive,prev_max_consecutive,broken_count,sealed_count,broken_rate,max_position,risk_level,top_concepts,top_industries,symbol,stock_name,role,lb_count,structure_stage,structure_score,primary_concept,primary_industry,tradable,stock_score,operation_type,entry_conditions,stop_loss_rules,take_profit_logic,sell_plan
2026-01-14,震荡期,60,True,102,0,5,12,59,102,0.36645962732919257,30%,中,,软件开发*(6/9/5) ; 互联网服(4/17/4) ; 通信设备(4/8/3) ; 文化传媒(4/7/4) ; 电网设备(4/5/2),003007,直真科技,龙头,5,高位期,3,,软件开发,False,3,,,,,
2026-01-14,震荡期,60,True,102,0,5,12,59,102,0.36645962732919257,30%,中,,软件开发*(6/9/5) ; 互联网服(4/17/4) ; 通信设备(4/8/3) ; 文化传媒(4/7/4) ; 电网设备(4/5/2),002153,石基信息,次龙,1,启动期,3,,软件开发,True,7,打板,次日开盘涨幅 <= +5%（open <= 15.40） ; 次日开盘不低于昨收 -2%（open >= 14.38） ; 盘中突破昨高（price >= 14.67）后再介入 ; 同产业链 10:00 前至少 1 只个股触及涨停（industry_follow_count >= 1）,买入后跌破买入价 -3%（price <= entry_price * 0.97）立即止损 ; 若 10:30 前无法站稳昨高（price < prev_high）则减仓/清仓 ; 题材炸板率显著升高（broken_rate > 50%）时不恋战,分批止盈：+6% 卖 50%，+10% 清仓；若再封板可用“开板”触发减仓,高开 >= 6% 且 10:00 前无法回封时逢冲高减仓；午后首次明显开板/放量长阴则清仓
