trade_date,market_emotion,emotion_score,operation_permission,limit_up_count,limit_down_count,max_consecutive,prev_max_consecutive,broken_count,sealed_count,broken_rate,max_position,risk_level,top_concepts,top_industries,symbol,stock_name,role,lb_count,structure_stage,structure_score,primary_concept,primary_industry,tradable,stock_score,operation_type,entry_conditions,stop_loss_rules,take_profit_logic,sell_plan
2026-01-15,震荡期,65,True,55,0,4,5,18,55,0.2465753424657534,30%,中,专精特新*(6/9/4) ; 富时罗素*(6/9/4) ; 区块链*(6/6/4) ; 华为概念*(6/6/4) ; 新能源车*(6/5/4),文化传媒(4/2/4) ; 半导体(2/4/1) ; 专用设备(2/3/1) ; 装修装饰(2/2/2) ; 农药兽药(2/2/1),600410,华胜天成,龙头,2,主升初期,4,区块链,,True,7,半路,次日开盘涨幅 <= +5%（open <= 25.64） ; 次日开盘不低于昨收 -2%（open >= 23.93） ; 盘中突破昨高（price >= 24.42）后再介入 ; 同概念板块 10:00 前至少 1 只个股触及涨停（theme_follow_count >= 1）,买入后跌破买入价 -3%（price <= entry_price * 0.97）立即止损 ; 若 10:30 前无法站稳昨高（price < prev_high）则减仓/清仓 ; 题材炸板率显著升高（broken_rate > 50%）时不恋战,分批止盈：+6% 卖 50%，+10% 清仓；若再封板可用“开板”触发减仓,高开 >= 6% 且 10:00 前无法回封时逢冲高减仓；午后首次明显开板/放量长阴则清仓
2026-01-15,震荡期,65,True,55,0,4,5,18,55,0.2465753424657534,30%,中,专精特新*(6/9/4) ; 富时罗素*(6/9/4) ; 区块链*(6/6/4) ; 华为概念*(6/6/4) ; 新能源车*(6/5/4),文化传媒(4/2/4) ; 半导体(2/4/1) ; 专用设备(2/3/1) ; 装修装饰(2/2/2) ; 农药兽药(2/2/1),002707,众信旅游,次龙,2,主升初期,4,区块链,,True,7,半路,次日开盘涨幅 <= +5%（open <= 9.54） ; 次日开盘不低于昨收 -2%（open >= 8.91） ; 盘中突破昨高（price >= 9.09）后再介入 ; 同概念板块 10:00 前至少 1 只个股触及涨停（theme_follow_count >= 1）,买入后跌破买入价 -3%（price <= entry_price * 0.97）立即止损 ; 若 10:30 前无法站稳昨高（price < prev_high）则减仓/清仓 ; 题材炸板率显著升高（broken_rate > 50%）时不恋战,分批止盈：+6% 卖 50%，+10% 清仓；若再封板可用“开板”触发减仓,高开 >= 6% 且 10:00 前无法回封时逢冲高减仓；午后首次明显开板/放量长阴则清仓
