trade_date,stock_code,stock_name,consecutive_limit_down,last_limit_down,volume_ratio,amount_ratio,open_board_flag,liquidity_exhaust,fhkq_score,fhkq_level
2026-01-16,600783,鲁信创投,3,1,0.880738046518868,0.7292932725624973,1,0,55,C
2026-01-16,002969,嘉美包装,2,1,1.1670850236627295,1.053437905104279,1,0,55,C
2026-01-16,002639,雪人集团,2,1,0.9242553890252334,0.8023992508624262,1,0,45,C
2026-01-16,600556,天下秀,2,1,0.671328356164017,0.5982664323937938,1,0,45,C
2026-01-16,601106,中国一重,2,1,0.6212971101542003,0.5569576382229423,1,0,45,C
2026-01-16,601992,金隅集团,2,1,0.6669266373063731,0.5961634144344867,1,0,45,C
2026-01-16,000592,平潭发展,2,1,0.4108580427639892,0.34671452077057996,1,0,30,D
2026-01-16,002757,南兴股份,2,1,0.2170706094017439,0.17953782728638115,1,0,30,D
2026-01-16,600477,杭萧钢构,2,1,0.2755644886736877,0.23536673743512984,1,0,30,D
2026-01-16,002718,友邦吊顶,2,1,0.5668375792321046,0.5257783997055575,0,0,25,D
2026-01-16,600340,华夏幸福,3,1,0.2527107518856868,0.18729033614655347,0,0,20,D
2026-01-16,600537,亿晶光电,3,1,0.42380542890002887,0.3228079282195325,0,0,20,D
2026-01-16,002195,岩山科技,2,1,0.08286335082204314,0.07263492242517186,0,0,10,D
2026-01-16,002202,金风科技,2,1,0.15136107572808793,0.12220995614912525,0,0,10,D
2026-01-16,002342,巨力索具,2,1,0.07329666351672451,0.06304784897937687,0,0,10,D
2026-01-16,002361,神剑股份,2,1,0.029841873920106586,0.02632051430496576,0,0,10,D
2026-01-16,002465,海格通信,2,1,0.04580722753664785,0.040469462368783925,0,0,10,D
2026-01-16,002519,银河电子,2,1,0.09197320411697603,0.07803614307339525,0,0,10,D
2026-01-16,002788,鹭燕医药,2,1,0.10496583358256505,0.07908021231035717,0,0,10,D
2026-01-16,003007,直真科技,2,1,0.10572071878994783,0.09025105062910313,0,0,10,D
2026-01-16,600776,东方通信,2,1,0.08656149011489546,0.07352293215246136,0,0,10,D
2026-01-16,600986,浙文互联,2,1,0.26781753859087515,0.23297984901520336,0,0,10,D
2026-01-16,603778,国晟科技,2,1,0.12349619049772607,0.11109662221102522,0,0,10,D
